sequence,scheme,repetition,duty_position,duty_percent,payload_bits,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,start_offset_s,narrow_sync_correlation_at_frozen_boundary,sync_bit_errors,raw_body_bit_errors,raw_body_bits_denominator,raw_symbol_errors,raw_symbols_denominator,decoder_failure,corrected_symbol_count,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,frame_error,decoded_payload_bits,exploratory_gmd,exploratory_gmd_decoder_failure,exploratory_gmd_payload_bit_errors_conditional_on_decode,exploratory_gmd_frame_error,exploratory_gmd_wrong_codeword_miscorrection,exploratory_gmd_erasure_count,exploratory_gmd_selected_erasures,exploratory_gmd_candidate_count,exploratory_gmd_margin,off_rms_normalized_diagnostic,normalized_sync_bit_errors,normalized_raw_body_bit_errors,normalized_decoder_failure,normalized_payload_bit_errors_conditional_on_decode,normalized_frame_error,physical_inband_active_power_x,physical_inband_off_power_x,physical_inband_snr_db_x,physical_inband_active_power_y,physical_inband_off_power_y,physical_inband_snr_db_y,physical_inband_snr_db_pooled,physical_positive_inband_power_estimate,physical_wide_0_10hz_off_power_x,physical_wide_0_10hz_off_power_y,physical_carrier_vs_0_10hz_off_noise_snr_db_pooled,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_median_us,pulse_p95_us
1,rs18_6,1,1,100.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,0.635000000,0,136.515000000,0.063619264,4,39,90,17,18,1,0,,0,1,,1,0,14,1,1,12,"16,5,1,13,11,10,4,3,7,0,15,8",1,,1,5,44,1,,1,1.708544876,2.620300761,,0.115220693,0.045658473,1.828520453,,0,1258.415656163,0.866140584,,4095,0.000000000,0.000000000,0.000000000,53.000562000,53.000000000,0.000562000,,,62500.000000000,0,0,,
2,rs18_6,1,2,50.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,0.635000000,0,204.520000000,0.131442623,7,47,90,18,18,1,0,,0,1,,1,0,19,1,1,12,"1,2,8,10,12,13,16,17,3,6,7,15",1,,1,9,43,1,,1,1.440789268,0.890819590,-2.094510129,0.090584150,0.066931696,-4.517556096,-2.226268435,1,1976.494575520,1.197571832,-35.375327891,4095,0.000000000,0.000000000,0.000000000,53.001188000,53.000000000,0.001188000,68.007393122,0.007393122,31250.000000000,424,0,31755.037000000,31776.375000000
3,rs18_6,1,3,40.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,0.635000000,0,272.530000000,0.334944390,5,45,90,17,18,1,0,,0,1,,1,0,18,1,1,12,"6,11,14,5,17,3,4,9,7,16,0,1",1,,1,6,48,1,,1,1.002604683,1.055578490,,0.083832493,0.096033948,,,0,2626.764841933,1.530379989,,4095,0.000000000,0.000000000,0.000000000,53.001199000,53.000000000,0.001199000,68.010000944,0.010000944,25000.000000000,424,0,25758.388000000,25779.599000000
4,rs18_6,1,4,30.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,0.635000000,0,340.540000000,0.135733770,6,46,90,18,18,1,0,,0,1,,1,0,16,1,1,12,"6,4,14,12,16,1,5,3,10,2,15,7",2,0.370483036,1,7,43,1,,1,0.882936152,1.092571198,,0.096048963,0.102910706,,,0,2944.400833094,1.375850287,,4095,0.000000000,0.000000000,0.000000000,53.001181000,53.000000000,0.001181000,68.008001089,0.008001089,18750.000000000,424,0,19647.703000000,19755.627000000
5,rs18_6,1,5,10.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,0.635000000,0,408.550000000,0.113941444,2,46,90,17,18,1,0,,0,1,,1,0,13,1,1,12,"4,9,0,5,12,7,2,17,8,10,1,3",1,,1,7,46,1,,1,1.134980464,0.651494308,-1.295265829,0.092836345,0.071259889,-5.188650447,-1.556454029,1,3306.655289493,1.108190849,-38.161892285,4095,0.000000000,0.000000000,0.000000000,53.001186000,53.000000000,0.001186000,68.009003878,0.009003878,6250.000000000,424,0,6754.129000000,6778.140000000
