Run: rs18_experiment_11V_20260728_091828
Frozen condition: 11 V, 3 m, 2 coded bits/s
Frames: 45; QNX session: 51.33 minutes
Prelaunch transmitter-off capture: 120 seconds
Minimum capture: 53.33 minutes
Serial: /dev/cu.usbmodem1201
Capture ready; preserving 120s transmitter-off baseline
2026-07-28T13:37:27.516543Z RS18 running; capture PID 75538
2026-07-28T13:37:37.853514Z RS18 running; capture PID 75538
2026-07-28T13:37:48.163815Z RS18 running; capture PID 75538
2026-07-28T13:37:58.542141Z RS18 running; capture PID 75538
2026-07-28T13:38:08.836740Z RS18 running; capture PID 75538
2026-07-28T13:38:19.416571Z RS18 running; capture PID 75538
2026-07-28T13:38:29.933495Z RS18 running; capture PID 75538
2026-07-28T13:38:40.255911Z RS18 running; capture PID 75538
2026-07-28T13:38:50.559460Z RS18 running; capture PID 75538
2026-07-28T13:39:00.886251Z RS18 running; capture PID 75538
2026-07-28T13:39:11.205994Z RS18 running; capture PID 75538
2026-07-28T13:39:21.519581Z RS18 running; capture PID 75538
2026-07-28T13:39:31.800154Z RS18 running; capture PID 75538
2026-07-28T13:39:42.121079Z RS18 running; capture PID 75538
2026-07-28T13:39:52.400438Z RS18 running; capture PID 75538
2026-07-28T13:40:02.756215Z RS18 running; capture PID 75538
2026-07-28T13:40:13.111282Z RS18 running; capture PID 75538
2026-07-28T13:40:23.574896Z RS18 running; capture PID 75538
2026-07-28T13:40:33.851721Z RS18 running; capture PID 75538
2026-07-28T13:40:44.129679Z RS18 running; capture PID 75538
2026-07-28T13:40:54.411518Z RS18 running; capture PID 75538
2026-07-28T13:41:04.757854Z RS18 running; capture PID 75538
2026-07-28T13:41:15.055282Z RS18 running; capture PID 75538
2026-07-28T13:41:25.370983Z RS18 running; capture PID 75538
2026-07-28T13:41:35.656658Z RS18 running; capture PID 75538
2026-07-28T13:41:45.933815Z RS18 running; capture PID 75538
2026-07-28T13:41:56.238386Z RS18 running; capture PID 75538
2026-07-28T13:42:06.518298Z RS18 running; capture PID 75538
2026-07-28T13:42:16.845112Z RS18 running; capture PID 75538
2026-07-28T13:42:27.187833Z RS18 running; capture PID 75538
2026-07-28T13:42:37.502765Z RS18 running; capture PID 75538
2026-07-28T13:42:47.788235Z RS18 running; capture PID 75538
2026-07-28T13:42:58.195861Z RS18 running; capture PID 75538
2026-07-28T13:43:08.465201Z RS18 running; capture PID 75538
2026-07-28T13:43:18.782266Z RS18 running; capture PID 75538
2026-07-28T13:43:29.082420Z RS18 running; capture PID 75538
2026-07-28T13:43:39.698198Z RS18 running; capture PID 75538
2026-07-28T13:43:50.001360Z RS18 running; capture PID 75538
2026-07-28T13:44:00.316447Z RS18 running; capture PID 75538
2026-07-28T13:44:10.608662Z RS18 running; capture PID 75538
2026-07-28T13:44:21.079063Z RS18 running; capture PID 75538
2026-07-28T13:44:31.999696Z RS18 running; capture PID 75538
2026-07-28T13:44:42.315479Z RS18 running; capture PID 75538
2026-07-28T13:44:52.603003Z RS18 running; capture PID 75538
2026-07-28T13:45:02.881544Z RS18 running; capture PID 75538
2026-07-28T13:45:13.190729Z RS18 running; capture PID 75538
2026-07-28T13:45:23.477009Z RS18 running; capture PID 75538
2026-07-28T13:45:33.757505Z RS18 running; capture PID 75538
2026-07-28T13:45:44.062363Z RS18 running; capture PID 75538
2026-07-28T13:45:54.365136Z RS18 running; capture PID 75538
2026-07-28T13:46:04.757301Z RS18 running; capture PID 75538
2026-07-28T13:46:15.062793Z RS18 running; capture PID 75538
2026-07-28T13:46:25.506834Z RS18 running; capture PID 75538
2026-07-28T13:46:35.838476Z RS18 running; capture PID 75538
2026-07-28T13:46:46.141902Z RS18 running; capture PID 75538
2026-07-28T13:46:56.438350Z RS18 running; capture PID 75538
2026-07-28T13:47:06.808006Z RS18 running; capture PID 75538
2026-07-28T13:47:17.130039Z RS18 running; capture PID 75538
2026-07-28T13:47:27.436277Z RS18 running; capture PID 75538
2026-07-28T13:47:37.725418Z RS18 running; capture PID 75538
2026-07-28T13:47:48.028928Z RS18 running; capture PID 75538
2026-07-28T13:47:58.403989Z RS18 running; capture PID 75538
2026-07-28T13:48:08.719233Z RS18 running; capture PID 75538
2026-07-28T13:48:19.125160Z RS18 running; capture PID 75538
2026-07-28T13:48:29.463558Z RS18 running; capture PID 75538
2026-07-28T13:48:39.774767Z RS18 running; capture PID 75538
2026-07-28T13:48:50.118203Z RS18 running; capture PID 75538
2026-07-28T13:49:00.386157Z RS18 running; capture PID 75538
2026-07-28T13:49:10.682440Z RS18 running; capture PID 75538
2026-07-28T13:49:20.993883Z RS18 running; capture PID 75538
2026-07-28T13:49:31.341295Z RS18 running; capture PID 75538
2026-07-28T13:49:41.654260Z RS18 running; capture PID 75538
2026-07-28T13:49:53.295100Z RS18 running; capture PID 75538
2026-07-28T13:50:03.603175Z RS18 running; capture PID 75538
2026-07-28T13:50:14.018087Z RS18 running; capture PID 75538
2026-07-28T13:50:24.341637Z RS18 running; capture PID 75538
2026-07-28T13:50:34.624744Z RS18 running; capture PID 75538
2026-07-28T13:50:45.011926Z RS18 running; capture PID 75538
2026-07-28T13:50:55.319816Z RS18 running; capture PID 75538
2026-07-28T13:51:05.646414Z RS18 running; capture PID 75538
2026-07-28T13:51:15.920421Z RS18 running; capture PID 75538
2026-07-28T13:51:26.218584Z RS18 running; capture PID 75538
2026-07-28T13:51:36.499195Z RS18 running; capture PID 75538
2026-07-28T13:51:46.795193Z RS18 running; capture PID 75538
2026-07-28T13:51:57.107071Z RS18 running; capture PID 75538
2026-07-28T13:52:07.376780Z RS18 running; capture PID 75538
2026-07-28T13:52:17.731444Z RS18 running; capture PID 75538
2026-07-28T13:52:28.019838Z RS18 running; capture PID 75538
2026-07-28T13:52:38.452538Z RS18 running; capture PID 75538
2026-07-28T13:52:48.796138Z RS18 running; capture PID 75538
2026-07-28T13:52:59.115468Z RS18 running; capture PID 75538
2026-07-28T13:53:09.403055Z RS18 running; capture PID 75538
2026-07-28T13:53:19.759583Z RS18 running; capture PID 75538
2026-07-28T13:53:30.074690Z RS18 running; capture PID 75538
2026-07-28T13:53:40.360224Z RS18 running; capture PID 75538
2026-07-28T13:53:50.681562Z RS18 running; capture PID 75538
2026-07-28T13:54:01.212031Z RS18 running; capture PID 75538
2026-07-28T13:54:11.487007Z RS18 running; capture PID 75538
2026-07-28T13:54:21.898801Z RS18 running; capture PID 75538
2026-07-28T13:54:32.174000Z RS18 running; capture PID 75538
2026-07-28T13:54:42.480125Z RS18 running; capture PID 75538
2026-07-28T13:54:52.797213Z RS18 running; capture PID 75538
2026-07-28T13:55:03.090482Z RS18 running; capture PID 75538
2026-07-28T13:55:13.455875Z RS18 running; capture PID 75538
2026-07-28T13:55:23.741743Z RS18 running; capture PID 75538
2026-07-28T13:55:34.135294Z RS18 running; capture PID 75538
2026-07-28T13:55:44.541152Z RS18 running; capture PID 75538
2026-07-28T13:55:54.824306Z RS18 running; capture PID 75538
2026-07-28T13:56:05.161477Z RS18 running; capture PID 75538
2026-07-28T13:56:15.472106Z RS18 running; capture PID 75538
2026-07-28T13:56:25.800021Z RS18 running; capture PID 75538
2026-07-28T13:56:36.129427Z RS18 running; capture PID 75538
2026-07-28T13:56:46.415889Z RS18 running; capture PID 75538
2026-07-28T13:56:56.727020Z RS18 running; capture PID 75538
2026-07-28T13:57:07.009587Z RS18 running; capture PID 75538
2026-07-28T13:57:17.316877Z RS18 running; capture PID 75538
2026-07-28T13:57:27.634626Z RS18 running; capture PID 75538
2026-07-28T13:57:37.988040Z RS18 running; capture PID 75538
2026-07-28T13:57:48.345998Z RS18 running; capture PID 75538
2026-07-28T13:57:58.646515Z RS18 running; capture PID 75538
2026-07-28T13:58:09.006255Z RS18 running; capture PID 75538
2026-07-28T13:58:19.314715Z RS18 running; capture PID 75538
2026-07-28T13:58:29.598313Z RS18 running; capture PID 75538
2026-07-28T13:58:39.922852Z RS18 running; capture PID 75538
2026-07-28T13:58:50.268035Z RS18 running; capture PID 75538
2026-07-28T13:59:00.558483Z RS18 running; capture PID 75538
2026-07-28T13:59:10.873589Z RS18 running; capture PID 75538
2026-07-28T13:59:21.167983Z RS18 running; capture PID 75538
2026-07-28T13:59:31.485082Z RS18 running; capture PID 75538
2026-07-28T13:59:41.795781Z RS18 running; capture PID 75538
2026-07-28T13:59:52.180793Z RS18 running; capture PID 75538
2026-07-28T14:00:02.495341Z RS18 running; capture PID 75538
2026-07-28T14:00:12.794521Z RS18 running; capture PID 75538
2026-07-28T14:00:23.138496Z RS18 running; capture PID 75538
2026-07-28T14:00:33.454341Z RS18 running; capture PID 75538
2026-07-28T14:00:43.995894Z RS18 running; capture PID 75538
2026-07-28T14:00:54.338096Z RS18 running; capture PID 75538
2026-07-28T14:01:04.636543Z RS18 running; capture PID 75538
2026-07-28T14:01:15.079907Z RS18 running; capture PID 75538
2026-07-28T14:01:25.468960Z RS18 running; capture PID 75538
2026-07-28T14:01:35.839435Z RS18 running; capture PID 75538
2026-07-28T14:01:46.109922Z RS18 running; capture PID 75538
2026-07-28T14:01:56.409377Z RS18 running; capture PID 75538
2026-07-28T14:02:06.724282Z RS18 running; capture PID 75538
2026-07-28T14:02:17.106359Z RS18 running; capture PID 75538
2026-07-28T14:02:27.402733Z RS18 running; capture PID 75538
2026-07-28T14:02:37.694987Z RS18 running; capture PID 75538
2026-07-28T14:02:48.001279Z RS18 running; capture PID 75538
2026-07-28T14:02:58.426465Z RS18 running; capture PID 75538
2026-07-28T14:03:08.733177Z RS18 running; capture PID 75538
2026-07-28T14:03:19.037334Z RS18 running; capture PID 75538
2026-07-28T14:03:29.312296Z RS18 running; capture PID 75538
2026-07-28T14:03:39.627042Z RS18 running; capture PID 75538
2026-07-28T14:03:50.014540Z RS18 running; capture PID 75538
2026-07-28T14:04:00.315876Z RS18 running; capture PID 75538
2026-07-28T14:04:10.619666Z RS18 running; capture PID 75538
2026-07-28T14:04:20.930004Z RS18 running; capture PID 75538
2026-07-28T14:04:31.241010Z RS18 running; capture PID 75538
2026-07-28T14:04:41.558063Z RS18 running; capture PID 75538
2026-07-28T14:04:51.853444Z RS18 running; capture PID 75538
2026-07-28T14:05:02.135135Z RS18 running; capture PID 75538
2026-07-28T14:05:12.421221Z RS18 running; capture PID 75538
2026-07-28T14:05:22.728876Z RS18 running; capture PID 75538
2026-07-28T14:05:33.061999Z RS18 running; capture PID 75538
2026-07-28T14:05:43.387573Z RS18 running; capture PID 75538
2026-07-28T14:05:53.705945Z RS18 running; capture PID 75538
2026-07-28T14:06:04.194051Z RS18 running; capture PID 75538
2026-07-28T14:06:14.555324Z RS18 running; capture PID 75538
2026-07-28T14:06:24.859282Z RS18 running; capture PID 75538
2026-07-28T14:06:35.154773Z RS18 running; capture PID 75538
2026-07-28T14:06:45.451449Z RS18 running; capture PID 75538
2026-07-28T14:06:55.764813Z RS18 running; capture PID 75538
2026-07-28T14:07:06.076953Z RS18 running; capture PID 75538
2026-07-28T14:07:16.446876Z RS18 running; capture PID 75538
2026-07-28T14:07:26.811335Z RS18 running; capture PID 75538
2026-07-28T14:07:37.092049Z RS18 running; capture PID 75538
2026-07-28T14:07:47.383972Z RS18 running; capture PID 75538
2026-07-28T14:07:57.673894Z RS18 running; capture PID 75538
2026-07-28T14:08:08.021070Z RS18 running; capture PID 75538
2026-07-28T14:08:18.295663Z RS18 running; capture PID 75538
2026-07-28T14:08:28.593755Z RS18 running; capture PID 75538
2026-07-28T14:08:38.894326Z RS18 running; capture PID 75538
2026-07-28T14:08:49.980627Z RS18 running; capture PID 75538
2026-07-28T14:09:00.281614Z RS18 running; capture PID 75538
2026-07-28T14:09:10.584355Z RS18 running; capture PID 75538
2026-07-28T14:09:20.977129Z RS18 running; capture PID 75538
2026-07-28T14:09:31.294637Z RS18 running; capture PID 75538
2026-07-28T14:09:41.683452Z RS18 running; capture PID 75538
2026-07-28T14:09:51.988649Z RS18 running; capture PID 75538
2026-07-28T14:10:02.352475Z RS18 running; capture PID 75538
2026-07-28T14:10:12.654500Z RS18 running; capture PID 75538
2026-07-28T14:10:22.923255Z RS18 running; capture PID 75538
2026-07-28T14:10:33.223945Z RS18 running; capture PID 75538
2026-07-28T14:10:43.730528Z RS18 running; capture PID 75538
2026-07-28T14:10:54.042718Z RS18 running; capture PID 75538
2026-07-28T14:11:04.353045Z RS18 running; capture PID 75538
2026-07-28T14:11:14.631773Z RS18 running; capture PID 75538
2026-07-28T14:11:25.089954Z RS18 running; capture PID 75538
2026-07-28T14:11:35.385794Z RS18 running; capture PID 75538
2026-07-28T14:11:45.689524Z RS18 running; capture PID 75538
RS18 capture complete: /Users/msteitieh/Desktop/CU-hakcing-captures/rs18-experiment/raw/rs18_experiment_11V_20260728_091828.csv
Validated QNX manifest: /Users/msteitieh/Desktop/CU-hakcing-captures/rs18-experiment/manifests/qnx/rs18_experiment_11V_20260728_091828.transmitter.csv
