sequence,phase,duty_percent,expected,baseline_known_header,baseline_known_payload,baseline_known_ok,baseline_sync_header,baseline_sync_payload,baseline_sync_ok,baseline_preamble,baseline_h0_threshold,baseline_h0_accepted,baseline_legacy_accepted,baseline_shift_seconds,zca_known_header,zca_known_payload,zca_known_ok,zca_sync_header,zca_sync_payload,zca_sync_ok,zca_preamble,zca_h0_threshold,zca_h0_accepted,zca_legacy_accepted,zca_shift_seconds,var_known_header,var_known_payload,var_known_ok,var_sync_header,var_sync_payload,var_sync_ok,var_preamble,var_h0_threshold,var_h0_accepted,var_legacy_accepted,var_shift_seconds,kalman_known_header,kalman_known_payload,kalman_known_ok,kalman_sync_header,kalman_sync_payload,kalman_sync_ok,kalman_preamble,kalman_h0_threshold,kalman_h0_accepted,kalman_legacy_accepted,kalman_shift_seconds,gru_known_header,gru_known_payload,gru_known_ok,gru_sync_header,gru_sync_payload,gru_sync_ok,gru_preamble,gru_h0_threshold,gru_h0_accepted,gru_legacy_accepted,gru_shift_seconds,tcn_known_header,tcn_known_payload,tcn_known_ok,tcn_sync_header,tcn_sync_payload,tcn_sync_ok,tcn_preamble,tcn_h0_threshold,tcn_h0_accepted,tcn_legacy_accepted,tcn_shift_seconds
21,train,10.0,C,0x7E,0x45,0,0x7E,0xA0,0,0.26835543353614005,0.1927863854833696,0,0,-0.875,0x75,0xA5,0,0x7E,0x90,0,0.3527949891441683,0.3469780906032286,0,0,-0.7,0x77,0x40,0,0x7E,0xC9,0,0.27714626995144137,0.11233737980599694,0,0,-0.85,0x75,0xA6,0,0x7E,0xCB,0,0.38002877200247404,0.35726761661716105,0,0,-0.665,0x75,0xA5,0,0x7E,0x90,0,0.411267821753576,0.23758465900630943,0,0,-0.7,0x75,0x47,0,0x4E,0x35,0,0.21570550443469783,0.5445116374739472,0,0,1.525
22,train,10.0,D,0x7E,0x2E,0,0x7E,0xAE,0,0.39637459444463663,0.1927863854833696,0,0,1.185,0x7E,0x46,0,0x7E,0x06,0,0.1641382461193172,0.3469780906032286,0,0,0.075,0x7B,0xDA,0,0x7E,0xFE,0,0.2563797082091538,0.11233737980599694,0,0,1.025,0x7E,0x7A,0,0x7E,0x6E,0,0.21389522535333289,0.35726761661716105,0,0,1.35,0x7E,0x08,0,0xEE,0xB6,0,0.14186086455051297,0.23758465900630943,0,0,0.945,0x7E,0x08,0,0x9E,0x28,0,0.3809402959418856,0.5445116374739472,0,0,-1.85
23,train,10.0,E,0x4E,0xD8,0,0xEE,0x41,0,0.28400036111569654,0.1927863854833696,0,0,1.455,0x4E,0xD8,0,0xB6,0x6C,0,0.23450185267491003,0.3469780906032286,0,0,-2.465,0x4E,0x9B,0,0xFE,0xDF,0,0.25678028571945605,0.11233737980599694,0,0,1.445,0x4E,0x9B,0,0xB6,0xBF,0,0.24263499676654293,0.35726761661716105,0,0,-2.385,0x4E,0xD8,0,0xB6,0x6C,0,0.3352163631888047,0.23758465900630943,0,0,-2.47,0x4E,0x98,0,0x7B,0x01,0,0.53790834343954,0.5445116374739472,0,0,2.835
24,test,10.0,I,0x7C,0x9C,0,0x74,0xD8,0,0.28753181738353684,0.1927863854833696,0,0,-1.99,0x7C,0x2C,0,0x7E,0x9C,0,0.1825208997826328,0.3469780906032286,0,0,0.275,0x7A,0x2C,0,0x78,0xAC,0,0.11662946163926244,0.11233737980599694,0,0,-1.425,0x7E,0x2C,0,0x7E,0x2C,0,0.20419856673815096,0.35726761661716105,0,0,0.085,0x7C,0x2C,0,0x70,0xA5,0,0.22780945304698602,0.23758465900630943,0,0,-0.99,0x7C,0x9C,0,0x7E,0x9C,0,0.5535423511783195,0.5445116374739472,0,0,0.25
25,train,1.0,A,0xDD,0x78,0,0x73,0xF4,0,0.46016998818633104,0.1927863854833696,0,0,2.435,0xDD,0x78,0,0x4E,0xD0,0,0.5654989405026659,0.3469780906032286,0,0,1.055,0x7E,0xF8,0,0x7E,0xAC,0,0.6956067855991477,0.11233737980599694,0,0,1.31,0x4D,0xB8,0,0x7E,0xF8,0,0.7378789897504063,0.35726761661716105,0,0,1.43,0xDD,0x78,0,0x4E,0xD0,0,0.6416865227510287,0.23758465900630943,0,0,1.025,0x5D,0x78,0,0x72,0xAD,0,0.41673538253727027,0.5445116374739472,0,0,2.47
26,train,1.0,B,0xFD,0x26,0,0xFD,0x26,0,0.47992880926816794,0.1927863854833696,0,0,0.025,0xF5,0x56,0,0x99,0xAE,0,0.5996617567432757,0.3469780906032286,0,0,1.63,0x28,0x39,0,0x79,0xA4,0,0.6689375534417707,0.11233737980599694,0,0,1.815,0x75,0x07,0,0x7D,0x27,0,0.8260920136342897,0.35726761661716105,0,0,-0.495,0xFD,0x56,0,0x90,0xA6,0,0.6152633386341478,0.23758465900630943,0,0,1.585,0xF7,0xF6,0,0x70,0x07,0,0.4601093336171808,0.5445116374739472,0,0,-0.725
27,train,1.0,C,0x97,0x59,0,0x76,0x00,0,0.4471889517820614,0.1927863854833696,0,0,2.425,0x97,0xE0,0,0xFE,0x38,0,0.761226527046681,0.3469780906032286,0,0,2.605,0x9E,0xE9,0,0xF4,0x33,0,0.5373226290790108,0.11233737980599694,0,0,2.62,0x9E,0x03,0,0xF4,0x30,0,0.7726451173415798,0.35726761661716105,0,0,2.645,0x97,0xE0,0,0xFE,0x38,0,0.7755219815683922,0.23758465900630943,0,0,2.605,0x97,0xE0,0,0x76,0x38,0,0.668510082698256,0.5445116374739472,0,0,2.655
28,train,1.0,D,0x7E,0x01,0,0xEE,0x3D,0,0.3950520943346407,0.1927863854833696,0,0,-1.77,0x0E,0x8D,0,0x9E,0xA8,0,0.6495028110766173,0.3469780906032286,0,0,0.115,0xEE,0xA8,0,0xB0,0x8E,0,0.5603980912948329,0.11233737980599694,0,0,3.0,0x7B,0x88,0,0xB3,0xAE,0,0.7065739048238527,0.35726761661716105,0,0,0.9,0x0E,0x8D,0,0x0E,0x8D,0,0.6550083827286273,0.23758465900630943,0,0,0.05,0x2D,0xD9,0,0x7D,0x49,0,0.5382521633085964,0.5445116374739472,0,0,0.32
29,train,1.0,E,0x4E,0x51,0,0xDE,0xD7,0,0.4771934214909235,0.1927863854833696,0,0,-2.535,0x4E,0x51,0,0x4E,0x96,0,0.7404509726168182,0.3469780906032286,0,0,-2.355,0xCC,0x1F,0,0x7E,0xDF,0,0.5725937871490335,0.11233737980599694,0,0,-2.29,0x2C,0x1C,0,0x25,0x9B,0,0.740672175273327,0.35726761661716105,0,0,-2.255,0x4E,0x51,0,0x4E,0x93,0,0.7392618134154394,0.23758465900630943,0,0,-2.365,0x4E,0xA8,0,0x7E,0x93,0,0.5920325144558165,0.5445116374739472,0,0,-2.345
30,test,1.0,J,0xDB,0x4D,0,0x7A,0x08,0,0.35533478590651374,0.1927863854833696,0,0,2.73,0xDB,0x68,0,0x76,0x53,0,0.6425322762793222,0.3469780906032286,0,0,2.96,0xB4,0xB0,0,0x7E,0x43,0,0.5084419507716682,0.11233737980599694,0,0,2.56,0x5E,0x64,0,0x73,0x56,0,0.6634926067526323,0.35726761661716105,0,0,2.77,0xDB,0x48,0,0x96,0x53,0,0.6884778552435162,0.23758465900630943,0,0,2.965,0xC2,0x7D,0,0x7A,0x00,0,0.3883429286007811,0.5445116374739472,0,0,2.905
