sequence,round,position,voltage_v,duty_percent,start_offset_s,boundary_source,manifest_clock_correction_s,preamble_score,decoded_header,decoded_letter,restricted_letter,accepted_decode_only,expected_rank_full,expected_rank_alphabet,decode_margin,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,baseline_x,baseline_y,broadband_active_power_x,broadband_off_power_x,broadband_snr_db_x,broadband_active_power_y,broadband_off_power_y,broadband_snr_db_y,broadband_snr_db_pooled,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,tone_coherence,off_coherence
1,1,1,11.000000,100.000000,18.605000,manifest_timestamps,-0.465000,0.594542,0xB6,\xc1,A,0,382,1,0.656823,4095,0.000000,0.000000,0.000000,903.411250,1624.550750,2003.520549,1967.916004,-17.425011,150.082380,109.275652,-4.277916,-14.343191,0.664014,0.448562,-3.184707,1.313492,0.289698,5.482667,2.249483,0.378243,0.629784
2,1,2,11.000000,40.000000,47.615000,manifest_timestamps,-0.465000,0.439652,0x97,J,J,0,966,10,0.014598,4095,0.000000,0.000000,0.000000,903.411250,1624.550750,1968.417240,1985.863243,,176.837507,136.218197,-5.255026,-19.617740,0.499834,0.543834,,1.044838,0.312208,3.704407,-0.945083,0.177693,0.385907
