letter,start_time_s,frame_samples,noise_samples,frame_power,noise_power,signal_power,snr_db,clipped_frame_rows,clipped_frame_percent,estimate_status
A,331.54,11200,2000,1394364.516589942,2.4697351250314905,1394362.0468548168,57.517251748007624,3272,29.214285714285715,clipped_observed_post_adc
B,402.53,11200,2000,1374337.685143571,1.584493023639834,1374336.1006505475,59.382026231869254,3027,27.02678571428571,clipped_observed_post_adc
C,473.54,11200,2000,1184511.2088910001,1.0491920318478882,1184510.1596989683,60.52683806420254,3089,27.580357142857142,clipped_observed_post_adc
D,544.53,11200,2000,1014817.8482661895,8.565478971805838,1014809.2827872176,50.73632777967107,3099,27.669642857142858,clipped_observed_post_adc
E,615.53,11200,2000,997182.5803210526,1.1393264401965175,997181.4409946124,59.42126010940683,3056,27.285714285714285,clipped_observed_post_adc
F,686.54,11200,2000,951377.1417925928,3.2346519985368722,951373.9071405943,54.68523672313878,3072,27.42857142857143,clipped_observed_post_adc
G,757.53,11200,2000,1015151.0361982533,1.8152179579460552,1015149.2209802953,57.476011063105844,3254,29.053571428571427,clipped_observed_post_adc
H,828.54,11200,2000,919031.9686822186,2.101842947268183,919029.8668392713,56.40729363619726,3245,28.97321428571429,clipped_observed_post_adc
POOLED,,89600,16000,1106346.7482356024,2.744992312034085,1106344.0032432904,56.05349053725207,25114,28.029017857142858,clipped_observed_post_adc
