sequence,round,position,voltage_v,duty_percent,start_offset_s,preamble_score,decoded_header,decoded_letter,restricted_letter,accepted_decode_only,expected_rank_full,expected_rank_alphabet,decode_margin,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,baseline_x,baseline_y,broadband_active_power_x,broadband_off_power_x,broadband_snr_db_x,broadband_active_power_y,broadband_off_power_y,broadband_snr_db_y,broadband_snr_db_pooled,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,tone_coherence,off_coherence
1,1,1,11.000000,100.000000,17.745000,1.021150,0x7E,A,A,1,1,1,1955.788982,4095,0.000000,0.000000,0.000000,850.923167,1609.123000,286.172477,279.214412,-16.034493,500.546743,362.150153,-4.177633,-6.446760,1.158205,1.674794,,43.082199,0.370539,20.617124,13.144978,0.309705,0.067840
2,1,2,11.000000,50.000000,88.685000,0.967287,0x7E,A,A,1,1,1,505.820637,4095,0.000000,0.000000,0.000000,850.923167,1609.123000,283.383108,285.735328,,396.170194,259.983897,-2.808130,-6.104025,1.188029,0.800177,-3.145196,21.101109,0.715469,14.547334,11.369118,0.242745,0.002096
3,1,3,11.000000,25.000000,159.740000,0.832171,0x7E,A,A,1,1,1,45.662644,4095,0.000000,0.000000,0.000000,850.923167,1609.123000,280.248049,276.402953,-18.566354,385.009165,214.202074,-0.983178,-4.485580,0.971021,0.678430,-3.652433,7.121412,1.435307,5.978700,4.515555,0.061934,0.168413
4,1,4,11.000000,10.000000,230.765000,0.549519,0x7E,A,A,1,1,1,10.734092,4095,0.000000,0.000000,0.000000,850.923167,1609.123000,273.488836,284.041068,,190.433237,256.663394,,,1.006505,0.852263,-7.423712,2.513786,0.857723,2.857294,0.247588,0.027137,0.386220
5,1,5,11.000000,5.000000,301.590000,0.426560,0x7E,A,A,1,1,1,13.900698,4095,0.000000,0.000000,0.000000,850.923167,1609.123000,279.481860,293.004481,,331.351236,396.158584,,,0.968454,0.676007,-3.639046,2.077222,0.579303,4.125820,1.541904,0.269289,0.102641
6,1,6,11.000000,1.000000,373.235000,0.226636,0x7E,\x14,T,0,6502,24,0.175854,4095,0.000000,0.000000,0.000000,850.923167,1609.123000,280.919114,286.684339,,263.525818,493.585124,,,0.851094,0.961710,,1.187279,1.123362,-12.449030,,0.119659,0.134070
