duty_percent,start_offset_s,preamble_score,decoded_header,decoded_letter,restricted_letter,decode_ok,full_expected_rank,alphabet_expected_rank,decode_margin,clipped_x_percent,clipped_y_percent,clipped_any_percent,broadband_snr_db_x,broadband_snr_db_y,broadband_snr_db_pooled,inband_snr_db_x,inband_snr_db_y,inband_snr_db_pooled,tone_coherence,off_coherence
10.0,17.74999999715874,1.829868435931187,0x7E,A,A,1,1,1,2263670.0414996,0.0,0.0,0.0,6.208393787675331,25.060464507970952,20.59971290053642,29.114072897623238,48.95977262908133,44.207603499719504,0.9996110310406934,0.14296311608789875
1.0,89.05499998574487,1.7570938894928725,0x7E,A,A,1,1,1,17883.92157073594,0.0,0.0,0.0,-12.110940852628328,-0.25284872596840086,-1.9507840284930533,13.171404616789147,28.40351366273942,26.163069619429294,0.9786056542917106,0.05836816697249638
