sequence,round,position,voltage_v,duty_percent,start_offset_s,preamble_score,decoded_header,decoded_letter,restricted_letter,accepted_decode_only,expected_rank_full,expected_rank_alphabet,decode_margin,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,baseline_x,baseline_y,broadband_active_power_x,broadband_off_power_x,broadband_snr_db_x,broadband_active_power_y,broadband_off_power_y,broadband_snr_db_y,broadband_snr_db_pooled,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,tone_coherence,off_coherence
1,1,1,11.000000,100.000000,18.800000,1.077821,0x7E,A,A,1,1,1,532224.996075,4095,5.250000,5.830357,5.830357,870.823792,1619.873417,616462.474192,642.868865,29.813311,728621.154632,4340.708657,22.223461,24.295960,9661.116938,1.443026,38.256883,27965.336134,0.858169,45.130341,42.135134,0.519015,0.248989
2,1,2,11.000000,50.000000,89.785000,1.827336,0x7E,A,A,1,1,1,624349.453464,4095,0.000000,0.000000,0.000000,870.823792,1619.873417,15340.753047,935.284352,11.875837,61181.099929,16400.625481,4.362283,5.332719,6256.598191,1.011821,37.911642,15076.628028,0.748203,43.042630,40.835020,0.999565,0.148182
3,1,3,11.000000,25.000000,160.785000,1.830184,0x7E,A,A,1,1,1,152484.077964,4095,0.000000,0.000000,0.000000,870.823792,1619.873417,5655.740292,940.639830,7.000676,33028.562759,10907.092878,3.071050,3.550918,2509.683421,1.006911,33.964536,4749.182654,0.617327,38.860472,36.501219,0.999176,0.026996
4,1,4,11.000000,10.000000,231.785000,1.827666,0x7E,A,A,1,1,1,13558.059075,4095,0.535714,0.794643,0.794643,870.823792,1619.873417,72457.554251,1107.384402,18.090966,140745.844312,21100.762976,7.535967,9.345102,641.571356,0.948725,28.294618,1042.000390,1.349358,28.871780,28.642727,0.998395,0.273715
5,2,1,11.000000,10.000000,302.795000,1.821019,0x7E,A,A,1,1,1,25967.059906,4095,0.991071,1.375000,1.375000,870.823792,1619.873417,130360.335900,795.832930,22.116641,279992.872240,43536.561181,7.348968,9.167846,814.521091,0.664416,30.881080,1027.319856,0.924824,30.452556,30.636879,0.998897,0.113225
6,2,2,11.000000,25.000000,373.805000,1.830657,0x7E,A,A,1,1,1,149630.197930,4095,0.000000,0.008929,0.008929,870.823792,1619.873417,5643.148361,813.174007,7.737613,71490.920679,9286.475419,8.259705,8.219916,2148.003305,1.002287,33.308402,5162.152763,0.652539,38.981694,36.450760,0.999035,0.107410
7,2,3,11.000000,50.000000,444.825000,1.824500,0x7E,A,A,1,1,1,38269.607652,4095,1.232143,1.741071,1.741071,870.823792,1619.873417,167931.339815,39587.571314,5.108159,445139.249585,798171.198438,,,4918.568097,3.350798,31.663945,15541.636552,11.511475,31.300440,31.385092,0.999118,0.283292
8,2,4,11.000000,100.000000,515.895000,1.207592,0x7E,A,A,1,1,1,83259.378612,4095,2.285714,4.544643,4.544643,870.823792,1619.873417,422780.937171,14321.846618,14.551495,892429.599498,206198.041402,5.221862,6.958436,5244.865241,1.199008,36.408129,23316.530764,2.269152,40.117581,39.156275,0.706461,0.024765
9,3,1,11.000000,50.000000,586.840000,1.825030,0x7E,A,A,1,1,1,249036.942158,4095,0.000000,0.375000,0.375000,870.823792,1619.873417,33119.214376,572.365699,17.548353,189121.934246,4197.966686,16.439542,16.588523,4855.022225,0.930279,37.174946,14039.876125,1.300087,40.333508,39.279172,0.996651,0.192995
10,3,2,11.000000,10.000000,657.850000,1.026382,0x7E,A,A,1,1,1,24255.590314,4095,2.491071,3.142857,3.142857,870.823792,1619.873417,300172.894440,11044.413772,14.179482,474201.646574,72291.815251,7.450395,9.186683,1339.128098,1.263706,30.247659,1302.215512,0.633772,33.125385,31.433360,0.836915,0.042527
11,3,3,11.000000,100.000000,728.895000,1.438243,0x7E,A,A,1,1,1,63748.338681,4095,2.955357,5.258929,5.258929,870.823792,1619.873417,484433.358988,14857.694208,14.997542,928218.480462,191659.995797,5.846758,7.664384,8782.613195,1.523550,37.606918,22095.023992,1.979876,40.476177,39.451019,0.848866,0.107487
12,3,4,11.000000,25.000000,799.845000,1.025086,0x7E,\xc1,A,0,2,1,5461.990984,4095,14.044643,15.964286,15.964286,870.823792,1619.873417,1571129.238516,8691.147910,22.547257,1469875.427950,148480.160554,9.493643,12.635969,2939.901541,0.788604,35.713571,3943.493334,2.428409,32.102918,33.301468,0.716858,0.237688
