sequence,round,position,voltage_v,duty_percent,start_offset_s,preamble_score,decoded_header,decoded_letter,restricted_letter,accepted_decode_only,expected_rank_full,expected_rank_alphabet,decode_margin,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,baseline_x,baseline_y,broadband_active_power_x,broadband_off_power_x,broadband_snr_db_x,broadband_active_power_y,broadband_off_power_y,broadband_snr_db_y,broadband_snr_db_pooled,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,tone_coherence,off_coherence
1,1,1,11.000000,100.000000,17.505000,1.823144,0x7E,A,A,1,1,1,7391416.254059,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,43484.814705,404.764354,20.270739,309034.477740,247.531620,30.960282,27.319338,13518.172288,0.845845,42.035998,109491.853991,0.396576,54.410533,49.956670,0.997484,0.237640
2,1,2,11.000000,50.000000,88.490000,1.827942,0x7E,A,A,1,1,1,4258072.998073,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,21607.638561,406.871934,17.168938,109528.294156,126.541915,29.367899,23.888873,8895.161641,0.412507,43.337028,56486.756851,0.385605,51.658014,49.133889,0.999738,0.173216
3,1,3,11.000000,25.000000,159.490000,1.830866,0x7E,A,A,1,1,1,817787.895163,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,7656.707375,392.233867,12.676591,33019.570973,333.635141,19.910891,17.406630,3621.169898,0.419747,39.358111,18105.029675,0.505391,45.541592,43.707586,0.999821,0.094784
4,1,4,11.000000,10.000000,230.490000,1.829592,0x7E,A,A,1,1,1,131981.793622,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,1959.401479,408.170231,5.798352,7260.095363,388.108326,12.481294,10.244130,828.608304,0.445433,32.693334,3890.985287,0.707398,37.403168,36.120329,0.999526,0.096987
5,2,1,11.000000,10.000000,301.495000,1.831298,0x7E,A,A,1,1,1,100064.392260,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,1943.879529,418.490487,5.616950,7306.121607,435.442201,11.980692,9.926523,823.012459,0.532925,31.884590,4056.238486,0.492059,39.160532,36.775446,0.999868,0.053398
6,2,2,11.000000,25.000000,372.510000,1.831652,0x7E,A,A,1,1,1,1343047.410263,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,7250.333814,397.470264,12.365674,37533.330753,159.692304,23.692814,18.997007,3396.662978,0.274423,40.925963,20275.125337,0.431959,46.715113,45.251780,0.999794,0.250099
7,2,3,11.000000,50.000000,443.525000,1.828339,0x7E,A,A,1,1,1,3273894.010910,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,17790.672954,421.171637,16.153282,120491.767654,271.880630,26.455980,22.978190,7489.511921,0.347105,43.339731,62637.081006,0.472619,51.223169,49.322102,0.999713,0.055304
8,2,4,11.000000,100.000000,514.555000,1.823795,0x7E,A,A,1,1,1,3083648.625613,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,28927.090985,413.714596,18.383478,282518.375448,294.896239,29.809239,26.419850,9258.484640,0.306580,44.799818,104123.064475,0.550522,52.767697,51.215065,0.997633,0.166988
9,3,1,11.000000,50.000000,585.540000,1.828479,0x7E,A,A,1,1,1,3468768.107755,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,15239.729188,407.032211,15.615913,108117.573379,251.542690,26.322730,22.702349,6435.619270,0.314771,43.105742,56172.593992,0.311468,52.561089,49.998869,0.999816,0.002004
10,3,2,11.000000,10.000000,656.535000,1.830021,0x7E,A,A,1,1,1,145562.549132,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,1563.469716,418.417489,4.372155,6942.942397,236.409496,14.528331,10.788308,622.175876,0.273167,33.572939,3784.460871,0.522525,38.598372,37.432839,0.999689,0.258726
11,3,3,11.000000,100.000000,727.575000,1.823434,0x7E,A,A,1,1,1,5520079.881035,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,26364.698746,423.345098,17.872981,288726.826929,117.284928,33.910685,27.647908,8449.715773,0.227430,45.699835,105857.453474,0.287741,55.657181,53.461203,0.997618,0.000560
12,3,4,11.000000,25.000000,798.555000,1.830717,0x7E,A,A,1,1,1,671631.813852,4095,0.000000,0.000000,0.000000,856.257083,1608.363500,5272.858109,398.904731,10.870122,32655.908294,241.114923,21.285192,17.653845,2466.196814,0.540512,36.591269,18000.683231,0.427818,46.240201,43.250078,0.999874,0.074671
