sequence,scheme,repetition,duty_position,duty_percent,payload_bits,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,start_offset_s,narrow_sync_correlation_at_frozen_boundary,sync_bit_errors,raw_body_bit_errors,raw_body_bits_denominator,raw_symbol_errors,raw_symbols_denominator,decoder_failure,corrected_symbol_count,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,frame_error,decoded_payload_bits,exploratory_gmd,exploratory_gmd_decoder_failure,exploratory_gmd_payload_bit_errors_conditional_on_decode,exploratory_gmd_frame_error,exploratory_gmd_wrong_codeword_miscorrection,exploratory_gmd_erasure_count,exploratory_gmd_selected_erasures,exploratory_gmd_candidate_count,exploratory_gmd_margin,off_rms_normalized_diagnostic,normalized_sync_bit_errors,normalized_raw_body_bit_errors,normalized_decoder_failure,normalized_payload_bit_errors_conditional_on_decode,normalized_frame_error,physical_inband_active_power_x,physical_inband_off_power_x,physical_inband_snr_db_x,physical_inband_active_power_y,physical_inband_off_power_y,physical_inband_snr_db_y,physical_inband_snr_db_pooled,physical_positive_inband_power_estimate,physical_wide_0_10hz_off_power_x,physical_wide_0_10hz_off_power_y,physical_carrier_vs_0_10hz_off_noise_snr_db_pooled,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_median_us,pulse_p95_us
11,rs18_6,2,2,40.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,815.839999869,0.310429071,2,16,90,11,18,1,0,,0,1,,1,0,15,1,1,12,"9,0,2,7,3,1,6,14,4,12,8,10",2,7.840542436,1,3,19,1,,1,0.325412813,0.570171822,,1.222690626,0.355800043,3.867582890,-1.727155481,1,19.748205333,113.076274238,-23.293958799,4095,0.000000000,0.000000000,0.000000000,53.001225000,53.000000000,0.001225000,68.008004904,0.008004904,25000.000000000,424,0,25756.880000000,25776.686000000
12,rs18_6,2,3,35.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,883.849999859,0.434218128,1,22,90,14,18,1,0,,0,1,,1,0,10,1,1,12,"11,17,1,5,0,14,9,12,2,3,8,10",1,,1,3,26,1,,1,0.353920258,0.358874993,,0.928600395,0.385222011,1.493912638,-1.405054284,1,24.008569150,84.513946365,-23.043957246,4095,0.000000000,0.000000000,0.000000000,53.001183000,53.000000000,0.001183000,68.007996082,0.007996082,21875.000000000,424,0,22756.166000000,22775.606000000
13,rs18_6,2,4,30.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,951.859999848,0.340455180,2,43,90,18,18,1,0,,0,1,,1,0,15,1,1,4,"0,4,12,1",2,93.928677015,1,4,43,1,,1,0.399547740,0.389374034,-15.828878090,0.765054624,0.259911802,2.885881855,-1.003618572,1,19.818880446,80.748767147,-22.903842197,4095,0.000000000,0.000000000,0.000000000,53.001212000,53.000000000,0.001212000,68.008999109,0.008999109,18750.000000000,424,0,19664.176000000,19757.386000000
14,rs18_6,2,5,25.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1019.864999837,0.278278313,4,22,90,13,18,1,0,,0,1,,1,0,10,1,1,10,"17,6,5,4,0,7,3,14,12,15",2,56.283552133,1,4,19,1,,1,0.411478230,0.184938006,0.881191525,0.695910101,0.409128772,-1.543091492,-0.634457673,1,13.519859409,116.323763592,-24.030311260,4095,0.000000000,0.000000000,0.000000000,53.001192000,53.000000000,0.001192000,68.008000851,0.008000851,15625.000000000,424,0,15748.453000000,15777.100000000
15,rs18_6,2,6,10.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1087.874999826,0.148404255,5,44,90,17,18,1,0,,0,1,,1,0,15,1,1,10,"13,17,6,8,5,14,11,15,12,16",1,,1,7,55,1,,1,0.305394506,0.350396680,,0.514031157,0.465239278,-9.793288269,-23.328910276,1,28.218033692,118.165056562,-45.868855748,4095,0.000000000,0.000000000,0.000000000,53.001181000,53.000000000,0.001181000,68.008001089,0.008001089,6250.000000000,424,0,6757.611000000,6773.899000000
16,rs18_6,2,7,1.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1155.879999815,0.059929452,7,53,90,17,18,1,0,,0,1,,1,0,18,1,1,12,"2,7,4,10,17,8,16,3,9,15,1,13",1,,1,8,41,1,,1,0.305876410,0.261503114,-7.703551807,0.398847464,0.392886128,-18.189230865,-11.139692561,1,23.071729618,154.768435286,-35.481629576,4095,0.000000000,0.000000000,0.000000000,53.001187000,53.000000000,0.001187000,68.007997990,0.007997990,625.000000000,424,212,756.611000000,777.001000000
17,rs18_6,2,8,100.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1223.889999804,0.716636776,0,4,90,4,18,0,4,0,30,0,001111110011110100101001011110,1,0,0,0,0,0,,1,,1,0,5,0,0,0,0.529299591,0.459725128,-8.200483839,2.558011861,0.285041457,9.016857518,4.976677343,1,21.809318975,116.794687961,-17.720878679,4095,0.000000000,0.000000000,0.000000000,53.001229000,53.000000000,0.001229000,68.007999897,0.007999897,62500.000000000,0,0,,
18,rs18_6,2,9,50.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1291.899999793,0.477106161,3,23,90,13,18,1,0,,0,1,,1,0,11,1,1,12,"4,17,5,8,9,7,2,1,0,14,11,3",1,,1,3,24,1,,1,0.376283226,0.371340526,-18.758080783,1.225236266,0.322421715,4.471742655,1.167590671,1,22.444756903,134.845263640,-22.387314427,4095,0.000000000,0.000000000,0.000000000,53.001153000,53.000000000,0.001153000,68.008004189,0.008004189,31250.000000000,424,0,31757.750000000,31781.448000000
19,rs18_6,3,1,35.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1359.904999782,0.381014119,1,25,90,15,18,1,0,,0,1,,1,0,12,1,1,12,"3,8,4,15,14,13,2,6,9,0,5,17",2,45.467332476,1,1,20,1,,1,0.378870090,0.323283923,-7.646173755,0.916323927,0.559084755,-1.945185765,-3.298837368,1,29.845325868,132.588443032,-25.949099746,4095,0.000000000,0.000000000,0.000000000,53.001192000,53.000000000,0.001192000,68.008996964,0.008996964,21875.000000000,424,0,22756.584000000,22775.653000000
20,rs18_6,3,2,30.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1427.914999771,0.424856132,5,36,90,17,18,1,0,,0,1,,1,0,14,1,1,12,"17,3,14,4,9,2,1,10,12,6,5,7",1,,1,4,21,1,,1,0.293174011,0.391120180,,0.826189319,0.337667296,1.603951467,-2.708955089,1,160.938632141,4599.334132584,-40.859264470,4095,0.000000000,0.000000000,0.000000000,53.001247000,53.000000000,0.001247000,68.008996964,0.008996964,18750.000000000,424,0,19670.102000000,19758.671000000
21,rs18_6,3,3,25.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1495.924999761,0.400900316,4,31,90,15,18,1,0,,0,1,,1,0,10,1,1,8,"5,14,2,15,3,12,16,7",2,27.989072836,1,5,31,1,,1,0.337895372,0.245483393,-4.242938496,0.709636087,0.249743031,2.651634729,0.473751915,1,28.770847102,84.136495987,-23.105431861,4095,0.000000000,0.000000000,0.000000000,53.001197000,53.000000000,0.001197000,68.009001970,0.009001970,15625.000000000,424,0,15756.333000000,15783.198000000
22,rs18_6,3,4,10.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1563.934999750,0.227740810,3,42,90,18,18,1,0,,0,1,,1,0,19,1,1,10,"17,5,13,2,16,14,12,6,11,4",1,,1,4,36,1,,1,0.294543931,0.276307395,-11.804501799,0.409949227,0.398755034,-15.517133983,-13.605429339,1,25.889610321,94.095218770,-36.103253332,4095,0.000000000,0.000000000,0.000000000,53.001199000,53.000000000,0.001199000,68.008002996,0.008002996,6250.000000000,424,0,6761.010000000,6778.758000000
23,rs18_6,3,5,1.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1631.939999739,0.069041183,3,35,90,15,18,1,0,,0,1,,1,0,13,1,1,12,"14,11,16,3,13,7,2,4,0,5,10,9",1,,1,3,43,1,,1,0.246923364,0.338726049,,0.361239199,0.328872702,-10.069321262,,0,27.041485425,146.383352138,,4095,0.000000000,0.000000000,0.000000000,53.001225000,53.000000000,0.001225000,68.007997036,0.007997036,625.000000000,424,213,760.546000000,1235.787000000
24,rs18_6,3,6,100.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1699.949999728,0.635243808,1,8,90,7,18,1,0,,0,1,,1,0,0,0,0,4,"2,12,6,13",3,461.564686274,1,1,6,0,0,0,0.424874222,0.300279309,-3.820250956,2.176976256,0.434105917,6.036693732,4.053285982,1,22.565440459,84.233202656,-17.573132054,4095,0.000000000,0.000000000,0.000000000,53.001190000,53.000000000,0.001190000,68.007999897,0.007999897,62500.000000000,0,0,,
25,rs18_6,3,7,50.000000000,100001000001010001101010001010,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,1767.954999717,0.375431150,1,20,90,13,18,1,0,,0,1,,1,0,10,1,1,12,"12,6,16,8,13,4,17,7,9,14,10,3",1,,1,1,21,1,,1,0.302417824,0.207471328,-3.394791451,1.473813459,0.355947762,4.970033622,3.329619960,1,32.259292542,145.594890954,-21.662705309,4095,0.000000000,0.000000000,0.000000000,53.001187000,53.000000000,0.001187000,68.008002996,0.008002996,31250.000000000,424,0,31757.055000000,31779.747000000
