duty_percent,frames,hard_frame_errors,hard_fer,hard_fer_wilson_lower,hard_fer_wilson_upper,exploratory_gmd_frame_errors,exploratory_gmd_fer,exploratory_gmd_wilson_lower,exploratory_gmd_wilson_upper,exploratory_gmd_failures,exploratory_gmd_miscorrections,off_rms_normalized_diagnostic_frame_errors,off_rms_normalized_diagnostic_fer,off_rms_normalized_diagnostic_wilson_lower,off_rms_normalized_diagnostic_wilson_upper,positive_physical_snr_frames,no_positive_physical_power_frames,conditional_median_positive_physical_inband_snr_db,conditional_median_carrier_vs_0_10hz_off_noise_snr_db
1.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,3,2,-11.139692561001906,-35.481629576174385
10.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,-8.985828792028856,-32.609255365009524
25.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,0.001587271260903568,-24.54585796408319
30.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,-1.4391918752336124,-24.830848183795574
35.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,-1.4050542843513534,-23.043957246016376
40.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,1.182158367519032,-23.013124935467985
45.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,-0.1562073973140401,-22.346724211055044
50.0,5,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,5,5,1.0,0.5655175352168251,1.0,5,0,3.062140182494595,-21.66270530857266
100.0,5,1,0.2,0.03622410863243014,0.6244653702374747,0,0.0,0.0,0.43448246478317476,0,0,0,0.0,0.0,0.43448246478317476,5,0,4.0532859820286955,-17.72087867889461
