duty,frame_errors,failures,raw_ber,median_snr,no_snr
100,1,1,0.06,4.0532859820286955,0
50,5,5,0.22444444444444445,3.062140182494595,0
45,5,5,0.24444444444444444,-0.1562073973140401,0
40,5,5,0.2866666666666667,1.182158367519032,0
35,5,5,0.32666666666666666,-1.4050542843513534,0
30,5,5,0.37333333333333335,-1.4391918752336124,0
25,5,5,0.38,0.001587271260903568,0
10,5,5,0.43555555555555553,-8.985828792028856,0
1,5,5,0.5066666666666667,-11.139692561001906,2
