sequence,round,position,phase,letter,duty_percent,voltage_v,distance_m,hardware_note,coded_bits,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,1,1,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T22:41:55.664701Z,2026-07-24T22:42:51.665470Z,56.000663,15,62500.000,0,0,nan,nan,nan,nan
2,1,2,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T22:43:06.672289Z,2026-07-24T22:44:02.673750Z,56.001079,15,31250.000,448,0,31449.612,31760.926,31777.715,31806.963
3,1,3,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T22:44:17.680285Z,2026-07-24T22:45:13.681811Z,56.001156,15,15625.000,448,0,15642.093,15765.222,15782.348,16632.426
4,1,4,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T22:45:28.688284Z,2026-07-24T22:46:24.689814Z,56.001162,15,6250.000,448,0,6503.148,6756.518,6772.160,7271.278
5,2,1,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T22:46:39.696282Z,2026-07-24T22:47:35.697801Z,56.001152,15,6250.000,448,0,6574.722,6758.259,6776.331,7265.445
