sequence,round,position,phase,letter,duty_percent,voltage_v,distance_m,hardware_note,coded_bits,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,1,1,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:25:42.033441Z,2026-07-24T23:26:38.034482Z,56.000935,15,62500.000,0,0,nan,nan,nan,nan
2,1,2,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:26:53.040306Z,2026-07-24T23:27:49.041793Z,56.001106,15,31250.000,448,0,31319.407,31763.834,31780.350,31796.056
3,1,3,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:28:04.048284Z,2026-07-24T23:29:00.049815Z,56.001174,15,15625.000,448,0,15637.666,15758.130,15776.228,16635.778
4,1,4,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:29:15.056278Z,2026-07-24T23:30:11.057727Z,56.001103,15,6250.000,448,0,6394.296,6760.305,6777.571,6798.093
5,2,1,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:30:26.064281Z,2026-07-24T23:31:22.065804Z,56.001176,15,6250.000,448,0,6382.130,6763.629,6778.153,6792.685
6,2,2,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:31:37.073277Z,2026-07-24T23:32:33.074741Z,56.001116,15,15625.000,448,0,15639.259,15758.019,15777.959,16631.555
7,2,3,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:32:48.081280Z,2026-07-24T23:33:44.082764Z,56.001141,15,31250.000,448,0,31497.240,31761.250,31778.697,31788.370
8,2,4,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:33:59.089281Z,2026-07-24T23:34:55.090552Z,56.001186,15,62500.000,0,0,nan,nan,nan,nan
9,3,1,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:35:10.097278Z,2026-07-24T23:36:06.098711Z,56.001079,15,31250.000,448,0,31471.223,31763.481,31779.351,31788.093
10,3,2,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:36:21.105278Z,2026-07-24T23:37:17.106735Z,56.001109,15,6250.000,448,0,6576.111,6762.528,6777.073,6787.500
11,3,3,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:37:32.113286Z,2026-07-24T23:38:28.114472Z,56.001107,15,62500.000,0,0,nan,nan,nan,nan
12,3,4,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:38:43.121278Z,2026-07-24T23:39:39.122773Z,56.001131,15,15625.000,448,0,15637.944,15759.546,15778.937,16623.833
