sequence,round,position,phase,letter,duty_percent,voltage_v,distance_m,hardware_note,coded_bits,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,1,1,calibration,A,100.0,11,3,l298n-current-bench-configuration-receiver-pin-restored,0001111001011010011001101001,2026-07-28T00:02:56.888989Z,2026-07-28T00:03:10.889748Z,14.000653,15,62500.000,0,0,nan,nan,nan,nan
2,1,2,calibration,A,50.0,11,3,l298n-current-bench-configuration-receiver-pin-restored,0001111001011010011001101001,2026-07-28T00:03:25.895578Z,2026-07-28T00:03:39.896852Z,14.001089,15,31250.000,112,0,31578.703,31757.260,31777.424,31786.629
3,1,3,calibration,A,25.0,11,3,l298n-current-bench-configuration-receiver-pin-restored,0001111001011010011001101001,2026-07-28T00:03:54.903567Z,2026-07-28T00:04:08.904821Z,14.001091,15,15625.000,112,0,15649.019,15755.231,15788.745,16611.463
4,1,4,calibration,A,10.0,11,3,l298n-current-bench-configuration-receiver-pin-restored,0001111001011010011001101001,2026-07-28T00:04:23.911568Z,2026-07-28T00:04:37.912812Z,14.001086,15,6250.000,112,0,6577.889,6759.732,6780.398,6786.982
5,1,5,calibration,A,1.0,11,3,l298n-current-bench-configuration-receiver-pin-restored,0001111001011010011001101001,2026-07-28T00:04:52.920565Z,2026-07-28T00:05:06.921817Z,14.001098,15,625.000,112,56,642.555,753.278,770.761,1623.556
