sequence,round,position,phase,letter,duty_percent,voltage_v,distance_m,hardware_note,coded_bits,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,1,1,calibration,A,100.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:50:24.424674Z,2026-07-24T23:51:20.425548Z,56.000766,15,62500.000,0,0,nan,nan,nan,nan
2,1,2,calibration,A,50.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:51:35.432288Z,2026-07-24T23:52:31.433738Z,56.001077,15,31250.000,448,0,31577.852,31764.667,31779.819,31786.926
3,1,3,calibration,A,25.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:52:46.440305Z,2026-07-24T23:53:42.441746Z,56.001077,15,15625.000,448,0,15635.685,15766.064,15784.501,16625.185
4,1,4,calibration,A,10.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:53:57.448278Z,2026-07-24T23:54:53.449779Z,56.001146,15,6250.000,448,0,6551.519,6756.352,6772.333,6789.389
5,2,1,calibration,A,10.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:55:08.456286Z,2026-07-24T23:56:04.457787Z,56.001149,15,6250.000,448,0,6553.260,6762.379,6778.141,6786.426
6,2,2,calibration,A,25.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:56:19.464282Z,2026-07-24T23:57:15.465794Z,56.001164,15,15625.000,448,0,15640.203,15763.398,15781.710,16622.537
7,2,3,calibration,A,50.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:57:30.472281Z,2026-07-24T23:58:26.473727Z,56.001101,15,31250.000,448,0,31562.482,31764.676,31779.919,31792.277
8,2,4,calibration,A,100.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:58:41.480279Z,2026-07-24T23:59:37.481487Z,56.001124,15,62500.000,0,0,nan,nan,nan,nan
9,3,1,calibration,A,50.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:59:52.488279Z,2026-07-25T00:00:48.489717Z,56.001081,15,31250.000,448,0,31409.833,31758.889,31775.713,31790.611
10,3,2,calibration,A,10.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-25T00:01:03.497284Z,2026-07-25T00:01:59.498769Z,56.001137,15,6250.000,448,0,6504.000,6764.463,6776.820,6785.167
11,3,3,calibration,A,100.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-25T00:02:14.505278Z,2026-07-25T00:03:10.506542Z,56.001179,15,62500.000,0,0,nan,nan,nan,nan
12,3,4,calibration,A,25.0,10,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-25T00:03:25.513279Z,2026-07-25T00:04:21.514737Z,56.001091,15,15625.000,448,0,15639.407,15759.954,15778.770,16632.593
