sequence,round,position,phase,letter,duty_percent,voltage_v,distance_m,hardware_note,coded_bits,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,1,1,calibration,A,100.0,11,3,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-27T23:19:11.390995Z,2026-07-27T23:20:07.391749Z,56.000651,15,62500.000,0,0,nan,nan,nan,nan
2,1,2,calibration,A,50.0,11,3,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-27T23:20:22.397568Z,2026-07-27T23:21:18.399045Z,56.001101,15,31250.000,448,0,31571.611,31756.796,31777.387,31831.482
3,1,3,calibration,A,25.0,11,3,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-27T23:21:33.405576Z,2026-07-27T23:22:29.407027Z,56.001099,15,15625.000,448,0,15635.833,15757.342,15776.613,16628.315
4,1,4,calibration,A,10.0,11,3,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-27T23:22:44.413560Z,2026-07-27T23:23:40.415104Z,56.001195,15,6250.000,448,0,6370.352,6760.658,6777.259,6795.186
5,1,5,calibration,A,5.0,11,3,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-27T23:23:55.422567Z,2026-07-27T23:24:51.424022Z,56.001107,15,3125.000,448,0,3496.407,3757.250,3772.672,3781.056
6,1,6,calibration,A,1.0,11,3,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-27T23:25:06.430579Z,2026-07-27T23:26:02.432022Z,56.001100,15,625.000,448,224,631.648,755.972,771.019,1631.111
