t,x,y
14861.570007,884,1609
14861.575006,968,1609
14861.580005,775,1606
14861.585006,813,1607
14861.590005,977,1606
14861.595006,872,1604
14861.600006,798,1608
14861.605006,969,1609
14861.610006,944,1608
14861.615007,764,1605
14861.620006,885,1609
14861.625006,949,1609
14861.630006,773,1604
14861.635006,829,1608
14861.640006,977,1608
14861.645006,846,1607
14861.650007,792,1609
14861.655007,981,1603
14861.660006,943,1609
14861.665006,754,1609
14861.670006,896,1608
14861.675006,948,1609
14861.680005,777,1612
14861.685005,815,1611
14861.690005,977,1614
14861.695005,863,1612
14861.700006,793,1613
14861.705006,965,1617
14861.710007,943,1613
14861.715006,762,1619
14861.720007,876,1618
14861.725006,956,1613
14861.730006,760,1620
14861.735006,818,1619
14861.740006,969,1620
14861.745005,860,1616
14861.750006,784,1621
14861.755007,980,1621
14861.760007,921,1622
14861.765006,770,1624
14861.770007,883,1621
14861.775006,959,1622
14861.780005,756,1625
14861.785006,827,1621
14861.790006,976,1620
14861.795005,843,1627
14861.800006,799,1618
14861.805006,970,1619
14861.810007,922,1617
14861.815006,754,1619
14861.820006,901,1614
14861.825006,948,1614
14861.830006,779,1613
14861.835005,805,1614
14861.840006,988,1612
14861.845007,846,1611
14861.850006,798,1601
14861.855007,981,1606
14861.860006,933,1608
14861.865006,755,1607
14861.870006,905,1603
14861.875006,952,1603
14861.880007,762,1602
14861.885005,808,1600
14861.890006,971,1603
14861.895005,850,1593
14861.900006,799,1597
14861.905007,962,1604
14861.910007,938,1601
14861.915006,765,1600
14861.920006,886,1603
14861.925007,941,1602
14861.930005,772,1600
14861.935006,814,1601
14861.940007,977,1599
14861.945006,855,1596
14861.950006,804,1596
14861.955005,970,1599
14861.960005,922,1597
14861.965006,750,1604
14861.970006,898,1598
14861.975006,946,1597
14861.980007,766,1595
14861.985006,814,1595
14861.990006,980,1596
14861.995005,840,1597
14862.000006,802,1595
14862.005007,976,1596
14862.010005,920,1599
14862.015007,770,1595
14862.020007,893,1595
14862.025006,956,1594
14862.030005,758,1598
14862.035006,829,1594
14862.040007,975,1593
14862.045005,857,1593
14862.050005,800,1587
14862.055005,976,1593
14862.060006,928,1597
14862.065006,764,1597
14862.070006,888,1596
14862.075005,965,1594
14862.080006,763,1597
14862.085006,810,1599
14862.090006,986,1593
14862.095006,858,1598
14862.100005,793,1597
14862.105005,965,1601
14862.110005,940,1598
14862.115006,764,1600
14862.120006,890,1602
14862.125005,945,1605
14862.130006,773,1603
14862.135005,813,1604
14862.140007,990,1603
14862.145006,845,1604
14862.150006,787,1606
14862.155006,969,1607
14862.160005,943,1609
14862.165005,770,1610
14862.170006,892,1611
14862.175006,943,1615
14862.180006,764,1603
14862.185005,823,1614
14862.190006,973,1615
14862.195007,842,1615
14862.200006,789,1621
14862.205007,987,1616
14862.210006,932,1622
14862.215005,760,1624
14862.220007,891,1625
14862.225005,950,1626
14862.230006,774,1625
14862.235005,819,1627
14862.240006,977,1629
14862.245006,844,1621
14862.250005,811,1629
14862.255005,978,1630
14862.260007,926,1630
14862.265007,760,1633
14862.270005,914,1631
14862.275007,951,1630
14862.280006,767,1631
14862.285006,821,1623
14862.290007,976,1627
14862.295006,863,1628
14862.300007,811,1630
14862.305006,979,1627
14862.310007,929,1629
14862.315006,764,1627
14862.320007,911,1626
14862.325006,951,1629
14862.330005,759,1625
14862.335005,834,1621
14862.340007,979,1622
14862.345005,846,1613
14862.350005,802,1619
14862.355006,970,1618
14862.360006,921,1618
14862.365006,772,1615
14862.370007,914,1613
14862.375005,954,1613
14862.380006,762,1610
14862.385006,809,1608
14862.390006,993,1605
14862.395007,836,1604
14862.400006,809,1602
14862.405005,983,1606
14862.410006,918,1605
14862.415006,760,1603
14862.420006,898,1597
14862.425006,961,1602
14862.430007,761,1603
14862.435006,806,1605
14862.440007,986,1602
14862.445006,835,1601
14862.450005,810,1600
14862.455007,982,1604
14862.460006,927,1604
14862.465005,757,1604
14862.470006,909,1601
14862.475005,959,1604
14862.480006,757,1605
14862.485006,805,1607
14862.490007,984,1605
14862.495006,836,1605
14862.500007,784,1606
14862.505007,987,1603
14862.510006,931,1603
14862.515007,760,1602
14862.520007,899,1603
14862.525007,957,1601
14862.530006,753,1604
14862.535006,808,1604
14862.540007,990,1602
14862.545005,839,1602
14862.550005,785,1603
14862.555006,991,1601
14862.560006,924,1603
14862.565006,755,1605
14862.570006,911,1602
14862.575005,945,1604
14862.580006,768,1594
14862.585006,813,1605
14862.590006,983,1596
14862.595006,842,1605
14862.600006,792,1605
14862.605007,968,1610
14862.610007,933,1610
14862.615005,764,1609
14862.620006,893,1611
14862.625006,956,1610
14862.630006,752,1613
14862.635007,809,1616
14862.640006,988,1613
14862.645005,841,1619
14862.650006,788,1615
14862.655006,976,1616
14862.660007,921,1618
14862.665007,775,1609
14862.670007,919,1615
14862.675006,954,1614
14862.680006,758,1615
14862.685006,825,1613
14862.690006,987,1616
14862.695006,838,1615
14862.700006,793,1618
14862.705006,989,1616
14862.710005,928,1618
14862.715007,762,1619
14862.720006,922,1615
14862.725007,944,1621
14862.730006,768,1613
14862.735005,825,1622
14862.740006,977,1618
14862.745005,834,1617
14862.750006,786,1621
14862.755006,986,1611
14862.760006,930,1617
14862.765007,763,1616
14862.770006,920,1615
14862.775006,957,1617
14862.780006,764,1615
14862.785007,810,1617
14862.790006,989,1615
14862.795005,835,1616
14862.800005,786,1616
14862.805005,990,1615
14862.810006,930,1615
14862.815005,756,1617
14862.820006,922,1612
14862.825005,950,1612
14862.830007,750,1612
14862.835006,829,1606
14862.840006,980,1610
14862.845007,838,1611
14862.850007,795,1610
14862.855005,984,1609
14862.860005,932,1611
14862.865005,753,1610
14862.870006,918,1609
14862.875005,948,1605
14862.880005,755,1606
14862.885006,805,1608
14862.890006,988,1604
14862.895005,831,1603
14862.900006,809,1602
14862.905006,975,1601
14862.910006,920,1600
14862.915005,758,1602
14862.920006,900,1598
14862.925006,939,1596
14862.930006,774,1593
14862.935006,817,1598
14862.940006,969,1596
14862.945007,838,1596
14862.950007,789,1594
14862.955007,969,1596
14862.960006,934,1594
14862.965006,758,1598
14862.970007,898,1597
14862.975005,958,1594
14862.980006,757,1594
14862.985005,810,1600
14862.990006,965,1600
14862.995005,826,1599
14863.000006,786,1600
14863.005006,968,1596
14863.010006,937,1597
14863.015006,767,1593
14863.020006,905,1584
14863.025006,946,1592
14863.030007,750,1590
14863.035005,804,1589
14863.040006,988,1588
14863.045005,827,1587
14863.050005,788,1590
14863.055006,984,1585
14863.060006,926,1584
14863.065005,753,1584
14863.070007,896,1584
14863.075007,956,1584
14863.080005,752,1582
14863.085005,809,1583
14863.090007,963,1581
14863.095006,837,1578
14863.100006,795,1584
14863.105006,967,1588
14863.110005,930,1584
14863.115007,768,1585
14863.120007,908,1586
14863.125005,938,1587
14863.130006,751,1589
14863.135005,828,1583
14863.140007,969,1588
14863.145006,822,1589
14863.150006,791,1595
14863.155007,971,1593
14863.160006,938,1594
14863.165007,768,1594
14863.170006,902,1599
14863.175007,954,1597
14863.180006,752,1600
14863.185006,829,1598
14863.190005,975,1602
14863.195006,825,1601
14863.200005,787,1606
14863.205006,968,1605
14863.210006,937,1602
14863.215006,772,1604
14863.220006,905,1604
14863.225005,938,1608
14863.230005,751,1611
14863.235006,818,1596
14863.240006,963,1608
14863.245006,834,1601
14863.250005,806,1606
14863.255006,980,1607
14863.260006,921,1604
14863.265007,760,1607
14863.270005,919,1599
14863.275007,951,1608
14863.280006,747,1611
14863.285006,808,1608
14863.290007,989,1608
14863.295005,826,1600
14863.300005,809,1608
14863.305005,974,1607
14863.310007,914,1610
14863.315006,779,1609
14863.320007,913,1613
14863.325006,937,1612
14863.330005,750,1615
14863.335006,818,1608
14863.340006,987,1615
14863.345005,823,1616
14863.350006,813,1612
14863.355007,977,1615
14863.360007,916,1620
14863.365006,775,1623
14863.370005,909,1619
14863.375006,957,1617
14863.380007,757,1614
14863.385005,810,1616
14863.390006,966,1613
14863.395007,815,1617
14863.400006,817,1613
14863.405006,977,1614
14863.410006,936,1616
14863.415006,772,1616
14863.420005,927,1615
14863.425006,943,1616
14863.430006,748,1616
14863.435007,828,1617
14863.440006,987,1615
14863.445006,824,1617
14863.450005,795,1617
14863.455006,970,1619
14863.460006,922,1608
14863.465006,776,1617
14863.470007,924,1618
14863.475006,951,1616
14863.480006,756,1616
14863.485005,812,1612
14863.490006,975,1615
14863.495006,822,1617
14863.500005,808,1614
14863.505005,984,1616
14863.510006,916,1620
14863.515006,780,1618
14863.520006,915,1617
14863.525006,947,1618
14863.530006,752,1620
14863.535007,830,1616
14863.540006,964,1620
14863.545005,831,1619
14863.550005,794,1620
14863.555006,989,1617
14863.560006,920,1619
14863.565006,785,1616
14863.570007,915,1618
14863.575005,944,1619
14863.580006,761,1618
14863.585006,815,1619
14863.590005,988,1612
14863.595007,830,1614
14863.600006,789,1620
14863.605005,973,1613
14863.610005,940,1613
14863.615007,775,1613
14863.620006,911,1616
14863.625006,934,1614
14863.630007,755,1602
14863.635006,826,1611
14863.640007,979,1610
14863.645007,829,1611
14863.650006,792,1610
14863.655005,987,1608
14863.660007,926,1608
14863.665006,757,1610
14863.670006,923,1607
14863.675006,939,1609
14863.680007,752,1608
14863.685006,829,1608
14863.690006,976,1609
14863.695006,818,1608
14863.700006,815,1605
14863.705006,979,1608
14863.710006,932,1606
14863.715006,764,1610
14863.720005,911,1608
14863.725005,933,1609
14863.730006,770,1609
14863.735005,818,1604
14863.740007,981,1605
14863.745006,821,1604
14863.750005,798,1606
14863.755006,977,1607
14863.760005,916,1604
14863.765006,779,1602
14863.770005,924,1600
14863.775007,940,1601
14863.780006,747,1603
14863.785006,819,1604
14863.790006,988,1600
14863.795005,828,1602
14863.800005,796,1598
14863.805006,986,1596
14863.810006,931,1598
14863.815006,776,1597
14863.820006,916,1594
14863.825006,949,1599
14863.830006,757,1595
14863.835006,817,1598
14863.840006,973,1584
14863.845006,823,1598
14863.850006,796,1596
14863.855006,969,1601
14863.860006,935,1598
14863.865006,776,1596
14863.870006,920,1601
14863.875005,937,1601
14863.880006,750,1597
14863.885005,824,1603
14863.890006,972,1604
14863.895006,816,1596
14863.900006,805,1601
14863.905005,984,1612
14863.910006,917,1610
14863.915006,782,1613
14863.920006,931,1615
14863.925006,943,1617
14863.930005,750,1619
14863.935006,812,1620
14863.940006,979,1617
14863.945006,818,1620
14863.950007,795,1621
14863.955006,977,1621
14863.960006,918,1622
14863.965006,774,1614
14863.970007,934,1620
14863.975005,938,1625
14863.980006,774,1621
14863.985005,820,1624
14863.990005,971,1627
14863.995006,813,1625
14864.000006,795,1627
14864.005006,995,1625
