t,x,y
14589.535006,892,1599
14589.540007,781,1598
14589.545006,957,1601
14589.550006,922,1606
14589.555006,765,1604
14589.560006,861,1607
14589.565006,954,1604
14589.570007,771,1610
14589.575006,818,1610
14589.580006,977,1611
14589.585007,875,1610
14589.590006,788,1614
14589.595006,948,1616
14589.600006,936,1612
14589.605006,754,1614
14589.610006,870,1614
14589.615007,963,1616
14589.620006,772,1619
14589.625006,811,1616
14589.630007,981,1616
14589.635005,875,1621
14589.640006,795,1619
14589.645006,956,1620
14589.650007,924,1617
14589.655006,763,1615
14589.660006,849,1617
14589.665006,974,1614
14589.670005,779,1615
14589.675005,803,1616
14589.680006,987,1610
14589.685006,877,1613
14589.690005,779,1610
14589.695005,972,1611
14589.700005,930,1611
14589.705006,748,1610
14589.710006,861,1609
14589.715006,951,1609
14589.720006,786,1602
14589.725005,813,1609
14589.730006,978,1606
14589.735005,875,1608
14589.740006,781,1599
14589.745007,964,1605
14589.750007,927,1607
14589.755006,765,1605
14589.760006,849,1610
14589.765006,948,1607
14589.770005,783,1606
14589.775007,815,1601
14589.780005,968,1609
14589.785007,891,1602
14589.790006,790,1609
14589.795006,959,1608
14589.800006,923,1608
14589.805006,768,1610
14589.810005,858,1611
14589.815005,950,1614
14589.820007,786,1613
14589.825006,809,1614
14589.830006,971,1616
14589.835007,886,1614
14589.840006,780,1613
14589.845006,970,1615
14589.850005,932,1617
14589.855007,768,1616
14589.860006,858,1615
14589.865007,949,1617
14589.870006,787,1613
14589.875006,809,1616
14589.880007,973,1614
14589.885005,890,1616
14589.890007,786,1612
14589.895006,957,1618
14589.900006,943,1613
14589.905005,754,1616
14589.910007,869,1612
14589.915006,960,1616
14589.920006,775,1618
14589.925006,826,1611
14589.930005,985,1616
14589.935006,874,1613
14589.940006,796,1619
14589.945006,965,1618
14589.950005,930,1621
14589.955006,751,1626
14589.960007,878,1621
14589.965005,967,1621
14589.970006,779,1622
14589.975005,803,1622
14589.980005,976,1620
14589.985006,887,1619
14589.990006,785,1616
14589.995006,974,1621
14590.000006,934,1617
14590.005006,756,1617
14590.010006,860,1617
14590.015007,950,1618
14590.020006,785,1613
14590.025007,805,1618
14590.030005,989,1616
14590.035006,872,1618
14590.040006,798,1613
14590.045005,961,1614
14590.050005,933,1609
14590.055005,770,1617
14590.060006,858,1619
14590.065005,969,1616
