t,x,y
14521.530005,770,1607
14521.535006,943,1596
14521.540006,940,1603
14521.545006,751,1611
14521.550006,814,1609
14521.555007,981,1606
14521.560006,798,1607
14521.565007,797,1604
14521.570006,993,1602
14521.575005,922,1599
14521.580007,769,1601
14521.585005,936,1593
14521.590007,946,1589
14521.595006,764,1597
14521.600006,820,1599
14521.605006,981,1592
14521.610005,805,1595
14521.615006,796,1595
14521.620005,971,1599
14521.625006,927,1595
14521.630006,778,1596
14521.635005,941,1595
14521.640006,942,1599
14521.645005,762,1592
14521.650006,817,1596
14521.655006,972,1595
14521.660007,799,1595
14521.665005,812,1595
14521.670006,980,1595
14521.675007,910,1597
14521.680007,784,1596
14521.685006,931,1597
14521.690005,945,1589
14521.695006,747,1601
14521.700005,831,1597
14521.705006,959,1596
14521.710006,819,1590
14521.715005,799,1594
14521.720006,981,1592
14521.725005,922,1588
14521.730006,779,1592
14521.735005,929,1592
14521.740006,939,1583
14521.745006,770,1589
14521.750006,827,1587
14521.755005,970,1589
14521.760007,795,1590
14521.765006,815,1589
14521.770005,977,1591
14521.775007,922,1592
14521.780006,772,1588
14521.785006,927,1592
14521.790006,942,1593
14521.795007,754,1600
14521.800006,815,1597
14521.805006,959,1599
14521.810006,812,1600
14521.815005,803,1604
14521.820006,995,1603
14521.825005,917,1604
14521.830006,767,1606
14521.835006,926,1610
14521.840006,949,1605
14521.845006,765,1614
14521.850006,821,1615
14521.855006,981,1614
14521.860007,804,1618
14521.865006,793,1620
14521.870005,979,1614
14521.875007,922,1619
14521.880006,763,1624
14521.885006,948,1619
14521.890006,943,1624
14521.895006,756,1625
14521.900005,817,1629
14521.905005,984,1626
14521.910006,800,1628
14521.915007,818,1632
14521.920005,982,1633
14521.925005,907,1638
14521.930005,778,1636
14521.935006,933,1639
14521.940006,930,1641
14521.945006,770,1640
14521.950006,828,1638
14521.955005,960,1642
14521.960006,819,1637
14521.965005,812,1637
14521.970007,981,1636
14521.975006,907,1639
14521.980006,792,1632
14521.985006,945,1629
14521.990006,934,1633
14521.995006,765,1632
14522.000005,841,1622
14522.005005,964,1625
14522.010006,798,1623
14522.015006,818,1624
14522.020006,982,1622
14522.025007,909,1619
14522.030006,769,1620
14522.035006,928,1618
14522.040006,931,1617
14522.045005,770,1616
14522.050006,828,1618
14522.055006,965,1620
14522.060006,794,1617
14522.065006,821,1616
14522.070007,991,1617
14522.075006,915,1619
14522.080005,766,1618
14522.085005,950,1614
14522.090007,931,1615
14522.095006,747,1617
14522.100005,842,1614
14522.105006,963,1620
14522.110005,811,1609
14522.115006,804,1610
14522.120005,988,1606
14522.125006,911,1606
14522.130007,780,1596
14522.135007,932,1604
14522.140007,951,1596
14522.145006,758,1601
14522.150006,819,1601
14522.155006,958,1597
14522.160006,813,1594
14522.165006,805,1597
14522.170005,972,1598
14522.175005,909,1595
14522.180005,788,1594
14522.185007,932,1596
14522.190006,947,1595
14522.195006,755,1597
14522.200005,842,1594
14522.205007,964,1598
14522.210006,795,1595
14522.215005,798,1597
14522.220007,974,1596
14522.225006,907,1599
14522.230006,788,1599
14522.235006,940,1598
14522.240006,927,1601
14522.245006,771,1600
14522.250005,828,1598
14522.255005,961,1599
14522.260007,793,1600
14522.265005,799,1600
14522.270005,992,1600
14522.275007,917,1599
14522.280006,779,1596
14522.285007,931,1596
14522.290007,926,1593
14522.295006,770,1594
14522.300006,833,1588
14522.305006,972,1594
14522.310007,801,1592
14522.315006,796,1594
14522.320007,992,1592
14522.325006,906,1590
14522.330005,784,1592
14522.335006,935,1590
14522.340005,947,1586
14522.345007,748,1593
14522.350006,818,1586
14522.355007,957,1583
14522.360006,811,1589
14522.365007,802,1592
14522.370005,970,1595
14522.375006,923,1589
14522.380006,779,1590
14522.385006,928,1595
14522.390006,933,1584
14522.395006,765,1590
14522.400007,823,1594
14522.405007,969,1590
14522.410006,811,1593
14522.415006,808,1591
14522.420005,973,1593
14522.425005,901,1594
14522.430005,764,1593
14522.435006,951,1588
14522.440006,931,1593
14522.445007,750,1588
14522.450006,825,1590
14522.455006,956,1592
14522.460006,815,1589
14522.465006,806,1590
14522.470006,969,1590
14522.475005,920,1589
14522.480006,777,1588
14522.485006,930,1593
14522.490006,931,1592
14522.495005,760,1590
14522.500006,828,1593
14522.505006,960,1590
14522.510006,810,1593
14522.515006,800,1590
14522.520006,966,1595
14522.525006,912,1592
14522.530006,763,1595
14522.535006,939,1593
14522.540006,927,1596
14522.545005,762,1599
14522.550005,827,1595
14522.555006,957,1597
14522.560007,806,1601
14522.565006,812,1603
14522.570005,976,1603
14522.575005,922,1606
14522.580006,769,1606
14522.585007,949,1605
14522.590007,928,1610
14522.595006,746,1612
14522.600006,815,1613
14522.605006,974,1603
14522.610005,794,1615
14522.615007,814,1614
14522.620006,979,1611
14522.625006,910,1610
14522.630006,765,1613
14522.635007,937,1609
14522.640007,946,1609
14522.645006,761,1607
14522.650006,821,1609
14522.655006,984,1607
14522.660006,790,1609
14522.665006,810,1606
14522.670005,986,1608
14522.675006,915,1609
14522.680006,768,1611
14522.685007,928,1611
14522.690006,947,1611
14522.695006,751,1612
14522.700005,841,1613
14522.705006,967,1610
14522.710007,795,1612
14522.715005,801,1614
14522.720006,988,1607
14522.725005,923,1617
14522.730006,764,1618
14522.735006,950,1616
14522.740006,948,1617
14522.745005,753,1617
14522.750006,824,1617
14522.755007,968,1611
14522.760005,807,1619
14522.765006,801,1621
14522.770006,994,1614
14522.775006,909,1620
14522.780005,771,1620
14522.785007,951,1616
14522.790006,940,1620
14522.795005,758,1618
14522.800006,825,1617
14522.805006,974,1616
14522.810007,795,1614
14522.815007,797,1614
14522.820007,991,1611
14522.825006,923,1611
14522.830006,774,1611
14522.835007,936,1611
14522.840006,944,1609
14522.845006,760,1609
14522.850005,825,1603
14522.855006,975,1607
14522.860005,806,1606
14522.865007,797,1608
14522.870006,975,1609
14522.875006,903,1607
14522.880006,778,1604
14522.885005,950,1605
14522.890007,935,1601
14522.895007,749,1601
14522.900005,829,1603
14522.905005,979,1604
14522.910006,794,1607
14522.915006,794,1608
14522.920006,993,1607
14522.925006,917,1605
14522.930006,768,1609
14522.935006,949,1608
14522.940005,928,1612
14522.945007,763,1603
14522.950007,826,1612
14522.955006,977,1608
14522.960006,795,1611
14522.965005,813,1603
14522.970006,981,1611
14522.975005,909,1610
14522.980007,789,1611
14522.985006,924,1612
14522.990006,936,1607
14522.995005,757,1610
14523.000006,839,1608
14523.005006,966,1606
14523.010006,796,1605
14523.015006,819,1606
14523.020006,974,1609
14523.025007,926,1609
14523.030006,781,1609
14523.035006,933,1608
14523.040006,929,1608
14523.045006,772,1605
14523.050007,841,1608
14523.055007,971,1613
14523.060007,793,1614
14523.065006,794,1617
14523.070007,994,1616
14523.075006,916,1618
14523.080005,766,1621
14523.085005,951,1620
14523.090006,937,1617
14523.095007,760,1619
14523.100005,818,1621
14523.105006,969,1620
14523.110005,793,1625
14523.115006,816,1616
14523.120006,973,1618
14523.125005,925,1615
14523.130005,772,1621
14523.135006,929,1619
14523.140007,950,1610
14523.145006,755,1611
14523.150006,822,1613
14523.155005,980,1612
14523.160006,799,1612
14523.165006,798,1615
14523.170005,992,1613
14523.175006,923,1612
14523.180005,786,1613
14523.185006,935,1618
14523.190006,929,1618
14523.195006,761,1619
14523.200005,825,1618
14523.205007,978,1620
14523.210005,812,1620
14523.215006,811,1621
14523.220006,978,1624
14523.225007,926,1625
14523.230006,776,1625
14523.235006,931,1627
14523.240007,928,1624
14523.245006,766,1624
14523.250006,829,1628
14523.255006,965,1626
14523.260006,814,1623
14523.265005,818,1625
14523.270005,992,1626
14523.275007,914,1623
14523.280006,773,1628
14523.285007,951,1625
14523.290006,933,1628
14523.295006,749,1630
14523.300007,838,1627
14523.305006,969,1629
14523.310006,797,1629
14523.315006,802,1631
14523.320006,992,1630
14523.325005,914,1631
14523.330006,772,1631
14523.335006,937,1631
14523.340005,932,1631
14523.345006,755,1631
14523.350007,847,1627
14523.355006,974,1627
14523.360006,801,1626
14523.365006,801,1631
14523.370005,997,1626
14523.375006,912,1628
14523.380005,782,1625
14523.385006,933,1629
14523.390007,950,1624
14523.395006,761,1623
14523.400006,822,1624
14523.405006,982,1617
14523.410006,802,1619
14523.415006,804,1611
14523.420006,973,1622
14523.425006,906,1616
14523.430006,788,1614
14523.435006,942,1613
14523.440006,942,1612
14523.445006,763,1613
14523.450005,826,1612
14523.455005,959,1612
14523.460005,794,1611
14523.465006,825,1608
14523.470006,981,1608
14523.475005,908,1608
14523.480006,768,1606
14523.485006,955,1601
14523.490007,945,1600
14523.495007,762,1596
14523.500006,834,1598
14523.505006,967,1598
14523.510006,803,1594
14523.515006,806,1594
14523.520005,975,1593
14523.525007,923,1593
14523.530007,774,1591
14523.535005,937,1592
14523.540006,949,1589
14523.545005,759,1591
14523.550005,820,1594
14523.555006,954,1593
14523.560006,807,1593
14523.565005,815,1590
14523.570006,976,1592
14523.575006,901,1594
14523.580005,782,1589
14523.585006,934,1591
14523.590005,929,1592
14523.595006,751,1589
14523.600006,846,1587
14523.605006,964,1585
