t,x,y
14997.590005,872,1615
14997.595006,784,1612
14997.600006,967,1613
14997.605006,932,1613
14997.610005,759,1613
14997.615007,859,1615
14997.620007,968,1608
14997.625005,772,1607
14997.630006,818,1606
14997.635005,983,1605
14997.640006,868,1605
14997.645006,779,1606
14997.650006,983,1604
14997.655005,930,1603
14997.660006,754,1602
14997.665006,861,1605
14997.670006,973,1599
14997.675007,775,1601
14997.680007,811,1601
14997.685006,976,1599
14997.690005,863,1602
14997.695007,803,1593
14997.700007,978,1600
14997.705006,931,1598
14997.710006,750,1602
14997.715005,879,1599
14997.720006,957,1601
14997.725005,773,1600
14997.730006,809,1599
14997.735005,974,1601
14997.740006,883,1601
14997.745006,781,1606
14997.750006,977,1602
14997.755007,941,1600
14997.760006,761,1602
14997.765007,870,1600
14997.770005,955,1599
14997.775006,762,1602
14997.780006,804,1599
14997.785006,993,1596
14997.790006,883,1597
14997.795005,784,1596
14997.800006,982,1597
14997.805005,937,1594
14997.810007,753,1597
14997.815006,877,1589
14997.820006,964,1593
14997.825006,772,1589
14997.830006,802,1591
14997.835007,994,1595
14997.840006,863,1596
14997.845007,781,1596
14997.850006,958,1601
14997.855007,946,1598
14997.860006,767,1598
14997.865006,867,1598
14997.870005,952,1601
14997.875006,761,1603
14997.880007,822,1598
14997.885005,990,1594
14997.890006,875,1601
14997.895006,788,1599
14997.900006,959,1603
14997.905006,941,1600
14997.910007,763,1598
14997.915007,866,1596
14997.920005,947,1596
14997.925006,762,1594
14997.930005,819,1594
14997.935006,974,1597
14997.940005,875,1586
14997.945006,794,1590
14997.950005,963,1592
14997.955006,925,1590
14997.960006,759,1590
14997.965005,872,1581
14997.970006,959,1589
14997.975006,771,1591
14997.980006,809,1591
14997.985005,995,1592
14997.990006,877,1592
14997.995005,784,1594
14998.000007,960,1595
14998.005006,923,1599
14998.010005,753,1601
14998.015006,865,1600
14998.020006,965,1594
14998.025007,782,1600
14998.030005,817,1600
14998.035007,978,1602
14998.040007,868,1604
14998.045005,797,1598
14998.050005,977,1603
14998.055005,937,1604
14998.060007,750,1603
14998.065006,884,1605
14998.070007,962,1605
14998.075006,779,1599
14998.080005,817,1596
14998.085005,987,1606
14998.090006,870,1606
14998.095007,775,1609
14998.100006,956,1611
14998.105006,945,1610
14998.110006,760,1610
14998.115006,865,1613
14998.120006,953,1611
14998.125006,784,1614
14998.130006,814,1615
14998.135005,972,1622
14998.140007,880,1620
14998.145005,793,1619
14998.150005,964,1618
14998.155006,946,1621
14998.160005,767,1622
14998.165006,870,1623
14998.170005,949,1623
14998.175005,768,1627
14998.180005,805,1628
14998.185006,975,1629
14998.190006,889,1626
14998.195006,793,1630
14998.200005,965,1631
14998.205006,927,1634
14998.210006,758,1630
14998.215005,889,1632
14998.220006,974,1632
14998.225005,778,1633
14998.230007,810,1637
14998.235005,973,1638
14998.240006,869,1634
14998.245006,799,1634
14998.250006,963,1632
14998.255006,938,1635
14998.260005,765,1634
14998.265006,871,1632
14998.270005,954,1633
14998.275006,773,1622
14998.280006,828,1631
14998.285007,988,1629
14998.290007,868,1628
14998.295005,798,1624
14998.300006,977,1624
14998.305005,941,1624
14998.310006,754,1621
14998.315006,881,1620
14998.320006,961,1615
14998.325006,762,1618
14998.330005,817,1611
14998.335005,976,1613
14998.340006,885,1613
14998.345006,787,1608
14998.350006,960,1608
14998.355007,923,1607
14998.360006,752,1599
14998.365007,882,1602
14998.370006,954,1599
14998.375005,780,1602
14998.380005,816,1603
14998.385006,977,1601
14998.390006,862,1603
14998.395005,793,1599
14998.400007,968,1601
14998.405007,932,1601
14998.410006,752,1604
14998.415007,882,1599
14998.420006,957,1602
14998.425007,764,1602
14998.430005,808,1600
14998.435006,974,1605
14998.440006,865,1603
14998.445007,793,1602
14998.450006,968,1601
14998.455006,928,1604
14998.460007,751,1601
14998.465007,878,1603
14998.470006,952,1602
14998.475006,779,1600
14998.480006,820,1601
14998.485006,979,1602
14998.490006,867,1601
14998.495005,774,1602
14998.500007,974,1598
14998.505006,934,1598
14998.510005,757,1600
14998.515006,865,1597
14998.520006,965,1597
14998.525007,773,1596
