sequence,phase,scheme,repetition,duty_percent,duty_label,frame_bits,start_offset_s,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,sync_correlation_score,sample_rate_hz,sync_bit_errors,coded_body_bit_errors,raw_frame_bit_errors,raw_payload_bit_errors,raw_payload_frame_error,coded_body_frame_error,raw_symbol_errors,decoder_failure,rs5_application_padding_valid,decoder_corrected_units,hamming_syndrome,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,payload_bits_per_frame,decoded_payload_frame_error,frame_error,sync_inclusive_diagnostic_frame_error,decoded_payload_bits,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,positive_inband_power_estimate,tone_coherence,off_coherence,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
41,short,uncoded,3,100.000000000,commanded 100%,27,1282.959999795,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.565388324,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.579848152,0.701909473,,10.687540137,0.173193457,17.832508103,10.746519250,1,0.139118762,0.003790844,13.501146000,13.500000000,0.001146000,35.508001089,0.008001089,62500.000000000,0,0,,,,
42,short,hamming15_11,3,100.000000000,commanded 100%,31,1311.469999790,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.572673719,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.592113395,0.474509345,-6.058224934,9.346936314,0.289663640,14.951034588,10.794085569,1,0.096551896,0.033335050,15.501176000,15.500000000,0.001176000,28.508002043,0.008002043,62500.000000000,0,0,,,,
43,short,uncoded,3,50.000000000,commanded 50%,27,1341.979999785,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.533422096,200.000000032,0,1,1,1,1,1,,0,,0,0,1,11,11,1,1,1,10001011110,4095,0.000000000,0.000000000,0.000000000,0.477378123,0.588600636,,5.370062473,0.159908075,15.129801984,8.332823516,1,0.033600901,0.012548957,13.501174000,13.500000000,0.001174000,30.509001017,0.009001017,31250.000000000,108,0,31598.352000000,31757.028000000,31779.732000000,31791.777000000
44,short,hamming15_11,3,50.000000000,commanded 50%,31,1370.484999781,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.515180916,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.543082259,0.718744283,,5.230645899,0.168575652,14.775333205,7.409095079,1,0.087555051,0.031839449,15.501157000,15.500000000,0.001157000,28.506999969,0.006999969,31250.000000000,124,0,31438.537000000,31757.547000000,31775.277000000,31778.926000000
45,short,rs5_3,3,50.000000000,commanded 50%,41,1400.994999776,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.547491698,200.000000032,1,1,2,0,0,1,1,0,1,1,,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,0.750400163,0.662159119,-8.752917246,5.002747823,0.237429568,13.025571092,7.320163551,1,0.068907333,0.022852954,20.501165000,20.500000000,0.001165000,30.506994963,0.006994963,31250.000000000,164,0,31329.074000000,31752.759000000,31773.556000000,31787.111000000
46,short,uncoded,4,10.000000000,commanded 10%,27,1436.499999770,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.359647475,200.000000032,4,6,10,6,1,1,,0,,0,0,6,11,11,1,1,1,01111011001,4095,0.000000000,0.000000000,0.000000000,0.675079246,0.644487209,-13.236059155,0.308256229,0.259635226,-7.275397004,-10.574305683,1,0.018042061,0.020718162,13.501172000,13.500000000,0.001172000,35.508002043,0.008002043,6250.000000000,108,0,6570.130000000,6759.463000000,6779.739000000,6928.741000000
47,short,hamming15_11,4,10.000000000,commanded 10%,31,1465.009999765,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.496096276,200.000000032,6,6,12,3,1,1,,0,,1,9,2,11,11,1,1,1,11001001100,4095,0.000000000,0.000000000,0.000000000,0.572960100,0.505308582,-8.732791310,0.533016991,0.132479391,4.804949662,-1.342550117,1,0.026153557,0.006007986,15.501289000,15.500000000,0.001289000,28.508996964,0.008996964,6250.000000000,124,0,6425.667000000,6757.990000000,6773.220000000,6784.945000000
48,short,rs5_3,4,10.000000000,commanded 10%,41,1495.519999761,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.378653616,200.000000032,4,8,12,2,1,1,4,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.845969728,0.489813572,-1.383903607,0.495652867,0.158969371,3.259083699,0.285333098,1,0.138030995,0.002841949,20.501153000,20.500000000,0.001153000,30.508002996,0.008002996,6250.000000000,164,0,6578.185000000,6756.806000000,6772.473000000,6784.722000000
49,short,hamming15_11,4,1.000000000,"commanded 1%, timing-limited",31,1531.024999755,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.065258359,200.000000032,6,7,13,6,1,1,,0,,0,0,6,11,11,1,1,1,10010000111,4095,0.000000000,0.000000000,0.000000000,0.650395150,0.505612042,-5.430995119,0.318446227,0.232638119,-4.331525508,-5.053607895,1,0.020999904,0.059779807,15.501156000,15.500000000,0.001156000,35.508001089,0.008001089,625.000000000,124,62,636.982000000,752.361000000,774.585000000,1633.852000000
50,short,rs5_3,4,1.000000000,"commanded 1%, timing-limited",41,1561.534999750,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.207263858,200.000000032,6,17,23,7,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.597672019,0.822842675,,0.213829653,0.211885749,-20.374269457,,0,0.255736016,0.037015987,20.501160000,20.500000000,0.001160000,30.507997990,0.007997990,625.000000000,164,82,648.278000000,755.334000000,787.119000000,1631.167000000
51,short,uncoded,4,1.000000000,"commanded 1%, timing-limited",27,1597.039999744,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.056553395,200.000000032,3,5,8,5,1,1,,0,,0,0,5,11,11,1,1,1,00001110010,4095,0.000000000,0.000000000,0.000000000,0.841389899,0.682517154,-6.330641711,0.164461856,0.158077270,-13.937366861,-7.064257700,1,0.016299079,0.146099138,13.501145000,13.500000000,0.001145000,35.508010864,0.008010864,625.000000000,108,54,657.741000000,763.741000000,778.893000000,1642.870000000
52,short,rs5_3,4,100.000000000,commanded 100%,41,1625.549999740,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.619077492,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.616202938,0.439809808,-3.967832436,10.004594515,0.198141373,16.945367892,11.944669376,1,0.076490502,0.051793840,20.501178000,20.500000000,0.001178000,28.507986069,0.007986069,62500.000000000,0,0,,,,
53,short,uncoded,4,100.000000000,commanded 100%,27,1661.059999734,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.551382878,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.849815597,1.017388735,,10.748946472,0.200576163,17.209060477,9.305959332,1,0.068243641,0.066898685,13.501144000,13.500000000,0.001144000,35.508007050,0.008007050,62500.000000000,0,0,,,,
54,short,hamming15_11,4,100.000000000,commanded 100%,31,1689.564999730,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.562766710,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.639611788,0.497574991,-5.444576731,8.584563613,0.265360559,14.962453518,10.449461544,1,0.024599338,0.000211319,15.501154000,15.500000000,0.001154000,28.508000851,0.008000851,62500.000000000,0,0,,,,
55,short,uncoded,4,50.000000000,commanded 50%,27,1720.074999725,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.574851213,200.000000032,1,0,1,0,0,0,,0,,0,0,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,1.008671803,0.516029355,-0.201425787,5.427651742,0.175249746,14.767005611,9.196399654,1,0.062834273,0.040948201,13.501142000,13.500000000,0.001142000,30.507995129,0.007995129,31250.000000000,108,0,31571.518000000,31754.676000000,31777.503000000,31789.834000000
56,short,hamming15_11,4,50.000000000,commanded 50%,31,1748.584999720,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.596291140,200.000000032,0,1,1,1,1,1,,0,,1,9,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.568837572,0.563812685,-20.500084962,5.224184120,0.163475174,14.907595515,8.429360292,1,0.062988867,0.006672498,15.501168000,15.500000000,0.001168000,28.508998871,0.008998871,31250.000000000,124,0,31414.815000000,31751.269000000,31773.638000000,31777.222000000
57,short,rs5_3,4,50.000000000,commanded 50%,41,1779.089999715,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.595997734,200.000000032,0,2,2,2,1,1,2,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.817411943,0.719123311,-8.643000754,5.207772356,0.213131090,13.698574946,7.374332559,1,0.030375918,0.047754570,20.501172000,20.500000000,0.001172000,30.509005070,0.009005070,31250.000000000,164,0,31563.556000000,31762.593000000,31783.359000000,31789.334000000
58,short,hamming15_11,4,25.000000000,commanded 25%,31,1814.599999710,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.541543822,200.000000032,2,1,3,0,0,1,,0,,1,4,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,0.895328432,1.116015157,,1.685646152,0.175257796,9.354112828,-0.005288050,1,0.136867963,0.052813837,15.501168000,15.500000000,0.001168000,35.509000063,0.009000063,15625.000000000,124,0,15646.370000000,15754.750000000,15781.748000000,16623.981000000
59,short,rs5_3,4,25.000000000,commanded 25%,41,1845.109999705,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.490715161,200.000000032,1,3,4,2,1,1,2,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.907557608,1.029176972,,1.400646591,0.512562538,2.387072103,-3.035188506,1,0.056119774,0.031753780,20.501164000,20.500000000,0.001164000,30.507994890,0.007994890,15625.000000000,164,0,15645.963000000,15755.565000000,15777.799000000,16625.982000000
60,short,uncoded,4,25.000000000,commanded 25%,27,1880.614999699,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.510329154,200.000000032,3,2,5,2,1,1,,0,,0,0,2,11,11,1,1,1,10011011000,4095,0.000000000,0.000000000,0.000000000,0.447300956,0.436528009,-16.076776074,1.831833591,0.173560009,9.802065190,4.370759483,1,0.073145083,0.015057058,13.501207000,13.500000000,0.001207000,35.508003950,0.008003950,15625.000000000,108,0,15647.814000000,15764.722000000,15780.207000000,16621.759000000
61,short,hamming15_11,5,1.000000000,"commanded 1%, timing-limited",31,1909.124999694,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.006771755,200.000000032,6,8,14,7,1,1,,0,,1,13,6,11,11,1,1,1,11110001110,4095,0.000000000,0.000000000,0.000000000,0.890383490,0.867723202,-15.831157930,0.216629848,0.282079773,,,0,0.038141351,0.015572369,15.501164000,15.500000000,0.001164000,28.507995129,0.007995129,625.000000000,124,62,643.963000000,762.379000000,776.592000000,1599.982000000
62,short,rs5_3,5,1.000000000,"commanded 1%, timing-limited",41,1939.634999690,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.049043190,200.000000032,6,16,22,7,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.832557856,1.138362040,,0.263499283,0.292654237,,,0,0.005897175,0.006144739,20.501164000,20.500000000,0.001164000,30.507999897,0.007999897,625.000000000,164,83,650.148000000,760.212000000,776.097000000,1630.889000000
63,short,uncoded,5,1.000000000,"commanded 1%, timing-limited",27,1975.139999684,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.253093015,200.000000032,5,7,12,7,1,1,,0,,0,0,7,11,11,1,1,1,01110010000,4095,0.000000000,0.000000000,0.000000000,0.981209958,0.535296836,-0.793444242,0.220397692,0.143166835,-2.680515712,-1.129053672,1,0.072226152,0.020656949,13.501168000,13.500000000,0.001168000,35.508004189,0.008004189,625.000000000,108,54,633.907000000,755.379000000,773.212000000,1615.981000000
64,short,rs5_3,5,100.000000000,commanded 100%,41,2003.649999679,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.632538524,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.640202887,0.527573795,-6.706326318,10.114760051,0.190717565,17.162979208,11.452890706,1,0.099604977,0.004375587,20.501217000,20.500000000,0.001217000,28.508000851,0.008000851,62500.000000000,0,0,,,,
65,short,uncoded,5,100.000000000,commanded 100%,27,2039.154999674,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.564826005,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.782222857,0.865680516,,9.054782293,0.167963361,17.235317738,9.302775881,1,0.008248132,0.056279076,13.501143000,13.500000000,0.001143000,35.508000135,0.008000135,62500.000000000,0,0,,,,
66,short,hamming15_11,5,100.000000000,commanded 100%,31,2067.664999669,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.539498067,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.709301685,0.716649133,,10.362659606,0.182511518,17.464638177,10.536032402,1,0.012891661,0.043986645,15.501167000,15.500000000,0.001167000,28.507995844,0.007995844,62500.000000000,0,0,,,,
67,short,uncoded,5,50.000000000,commanded 50%,27,2098.169999664,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.527777059,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.606215346,0.591096381,-15.921362446,4.944706702,0.276130224,12.280705329,7.324560545,1,0.052924957,0.006890614,13.501212000,13.500000000,0.001212000,30.507006168,0.007006168,31250.000000000,108,0,31550.259000000,31760.370000000,31780.239000000,31788.834000000
68,short,hamming15_11,5,50.000000000,commanded 50%,31,2126.679999660,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.603739346,200.000000032,0,1,1,1,1,1,,0,,1,9,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,1.163368584,0.944652429,-6.353911840,5.550211372,0.127786785,16.277075780,7.209942495,1,0.147865793,0.004215684,15.501149000,15.500000000,0.001149000,28.508002996,0.008002996,31250.000000000,124,0,31564.648000000,31755.204000000,31774.350000000,31782.278000000
69,short,rs5_3,5,50.000000000,commanded 50%,41,2157.189999655,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.624674613,200.000000032,0,1,1,0,0,1,1,0,1,1,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.822642624,0.952839034,,5.500764722,0.177504674,14.769678896,6.622131234,1,0.043276712,0.008950958,20.501164000,20.500000000,0.001164000,30.507995844,0.007995844,31250.000000000,164,0,31581.130000000,31755.259000000,31774.009000000,31788.333000000
70,short,hamming15_11,5,25.000000000,commanded 25%,31,2192.694999649,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.543842578,200.000000032,2,1,3,1,1,1,,0,,1,10,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,0.978895219,0.576100297,-1.554141121,1.697999474,0.147987825,10.201089753,4.308678047,1,0.031858332,0.075203968,15.501171000,15.500000000,0.001171000,35.507997036,0.007997036,15625.000000000,124,0,15641.000000000,15755.639000000,16450.933000000,16635.074000000
71,short,rs5_3,5,25.000000000,commanded 25%,41,2223.204999644,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.486670338,200.000000032,2,1,3,0,0,1,1,0,1,1,,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,0.979513891,0.994090919,,1.821562440,0.494499606,4.287255370,-0.546806346,1,0.027523474,0.107072142,20.501155000,20.500000000,0.001155000,30.507998943,0.007998943,15625.000000000,164,0,15640.112000000,15756.732000000,15779.737000000,16630.945000000
72,short,uncoded,5,25.000000000,commanded 25%,27,2258.709999638,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.496476174,200.000000032,1,4,5,4,1,1,,0,,0,0,4,11,11,1,1,1,01101001100,4095,0.000000000,0.000000000,0.000000000,1.112803580,0.960709536,-8.004798935,1.947585219,0.610106437,3.408812940,-0.230635676,1,0.043158721,0.106726115,13.501167000,13.500000000,0.001167000,35.508004189,0.008004189,15625.000000000,108,0,15641.889000000,15763.500000000,15785.640000000,16630.519000000
73,short,rs5_3,5,10.000000000,commanded 10%,41,2287.219999634,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.452620473,200.000000032,6,10,16,2,1,1,4,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.654499230,0.596102816,-10.089349906,0.573179613,0.159539560,4.137541937,-2.043407536,1,0.016102050,0.044156113,20.501162000,20.500000000,0.001162000,28.507995844,0.007995844,6250.000000000,164,0,6576.037000000,6757.315000000,6775.784000000,6784.278000000
74,short,uncoded,5,10.000000000,commanded 10%,27,2322.729999628,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.408265712,200.000000032,5,8,13,8,1,1,,0,,0,0,8,11,11,1,1,1,00110001011,4095,0.000000000,0.000000000,0.000000000,0.752258889,1.472902261,,0.473215282,0.242935258,-0.232342863,,0,0.008102220,0.003860323,13.501159000,13.500000000,0.001159000,35.508000135,0.008000135,6250.000000000,108,0,6583.075000000,6747.880000000,6777.309000000,6788.149000000
75,short,hamming15_11,5,10.000000000,commanded 10%,31,2351.234999624,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.402596054,200.000000032,4,5,9,3,1,1,,0,,1,8,3,11,11,1,1,1,10010010100,4095,0.000000000,0.000000000,0.000000000,0.768849528,0.935948906,,0.682973006,0.118554141,6.776847930,-4.239079727,1,0.125533403,0.025819628,15.501152000,15.500000000,0.001152000,28.508003950,0.008003950,6250.000000000,124,0,6450.703000000,6759.491000000,6774.541000000,6779.278000000
76,final,rs12_6,1,100.000000000,commanded 100%,76,2381.744999619,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.656182641,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,30,30,0,0,0,100010111000010010100111011111,4095,0.000000000,0.000000000,0.000000000,0.955999841,0.859498930,-9.497139306,10.171993950,0.262565714,15.768105813,9.502395449,1,0.190778796,0.076816662,38.001170000,38.000000000,0.001170000,30.508002996,0.008002996,62500.000000000,0,0,,,,
77,final,rs12_6,1,50.000000000,commanded 50%,76,2434.749999610,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.530161817,200.000000032,0,6,6,4,1,1,5,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.916199910,0.918429783,,4.884867915,0.204686277,13.591739814,6.196311020,1,0.049975582,0.001371038,38.001152000,38.000000000,0.001152000,53.007998943,0.007998943,31250.000000000,304,0,31567.723000000,31762.203000000,31783.473000000,31807.389000000
78,final,rs12_6,1,25.000000000,commanded 25%,76,2487.759999602,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.448790645,200.000000032,5,21,26,10,1,1,11,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.762256767,0.658273253,-8.014417194,1.526818669,0.242382134,7.242120462,1.879622256,1,0.051920623,0.019482873,38.001175000,38.000000000,0.001175000,53.007993937,0.007993937,15625.000000000,304,0,15640.574000000,15761.176000000,15778.618000000,16634.148000000
79,final,rs12_6,1,10.000000000,commanded 10%,76,2540.769999593,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.382697030,200.000000032,6,19,25,8,1,1,12,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.928396678,0.845080742,-10.061701263,0.516080705,0.352749696,-3.343980056,-6.863196051,1,0.044387508,0.083268959,38.001175000,38.000000000,0.001175000,53.008000135,0.008000135,6250.000000000,304,0,6425.834000000,6753.481000000,6773.926000000,6787.166000000
80,final,rs12_6,1,1.000000000,"commanded 1%, timing-limited",76,2593.774999585,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.189915703,200.000000032,4,32,36,16,1,1,12,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.807614618,0.873343156,,0.181298034,0.161049581,-9.005677361,,0,0.013942114,0.018554166,38.001178000,38.000000000,0.001178000,53.008000851,0.008000851,625.000000000,304,152,638.500000000,755.722000000,775.202000000,1634.371000000
81,final,rs12_6,2,50.000000000,commanded 50%,76,2646.784999576,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.623032595,200.000000032,0,2,2,1,1,1,2,0,1,2,,0,30,30,0,0,0,100010111000010010100111011111,4095,0.000000000,0.000000000,0.000000000,0.621407254,0.804768652,,5.640346140,0.150028278,15.634243651,7.449345109,1,0.042845613,0.029368954,38.001179000,38.000000000,0.001179000,53.008007050,0.008007050,31250.000000000,304,0,31568.074000000,31755.222000000,31780.179000000,32268.055000000
82,final,rs12_6,2,25.000000000,commanded 25%,76,2699.789999568,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.450408877,200.000000032,4,10,14,5,1,1,7,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.717438363,0.484255353,-3.173775263,1.641344831,0.296333354,6.569454545,3.057382584,1,0.246436618,0.001005981,38.001167000,38.000000000,0.001167000,53.007997990,0.007997990,15625.000000000,304,0,15649.944000000,15761.972000000,15782.301000000,16620.037000000
83,final,rs12_6,2,10.000000000,commanded 10%,76,2752.799999559,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.472781999,200.000000032,5,18,23,4,1,1,10,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.727704414,0.783929360,,0.456666865,0.453689875,-21.829818094,,0,0.101328112,0.066729947,38.001177000,38.000000000,0.001177000,53.007994175,0.007994175,6250.000000000,304,0,6403.629000000,6756.796000000,6775.043000000,6782.963000000
84,final,rs12_6,2,1.000000000,"commanded 1%, timing-limited",76,2805.809999551,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.144667123,200.000000032,6,31,37,16,1,1,12,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.591967666,0.465673008,-5.666960842,0.214494226,0.115754904,-0.690492599,-4.122477760,1,0.001322303,0.016149106,38.001175000,38.000000000,0.001175000,53.007998943,0.007998943,625.000000000,304,152,637.259000000,759.972000000,775.680000000,1622.037000000
85,final,rs12_6,2,100.000000000,commanded 100%,76,2858.814999542,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.559439860,200.000000032,0,1,1,0,0,1,1,0,1,1,,0,30,30,0,0,0,100010111000010010100111011111,4095,0.000000000,0.000000000,0.000000000,0.449968467,0.278482284,-2.105684388,9.620552812,0.200518958,16.718970255,13.015507993,1,0.046539275,0.144662756,38.001181000,38.000000000,0.001181000,53.008008003,0.008008003,62500.000000000,0,0,,,,
86,final,rs12_6,3,25.000000000,commanded 25%,76,2911.824999534,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.513308384,200.000000032,2,17,19,11,1,1,9,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.498358942,0.681468412,,1.780738104,0.160466631,10.042030514,2.322271405,1,0.054551824,0.026242343,38.001150000,38.000000000,0.001150000,53.007990837,0.007990837,15625.000000000,304,0,15643.537000000,15751.537000000,15779.838000000,16629.223000000
87,final,rs12_6,3,10.000000000,commanded 10%,76,2964.829999525,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.354692289,200.000000032,3,21,24,11,1,1,11,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.726185123,0.561556921,-5.328895507,0.481623468,0.168119212,2.706260943,-1.835819155,1,0.057404413,0.035546027,38.001177000,38.000000000,0.001177000,53.008007050,0.008007050,6250.000000000,304,0,6568.055000000,6764.028000000,6780.141000000,6789.334000000
88,final,rs12_6,3,1.000000000,"commanded 1%, timing-limited",76,3017.839999517,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.036528422,200.000000032,1,31,32,17,1,1,12,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,1.079880770,0.820259266,-4.996104829,0.177264427,0.219935823,,-6.807549281,1,0.018382904,0.023170169,38.001175000,38.000000000,0.001175000,53.009003162,0.009003162,625.000000000,304,152,636.815000000,756.001000000,775.800000000,1627.630000000
89,final,rs12_6,3,100.000000000,commanded 100%,76,3070.849999508,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.541872912,200.000000032,1,0,1,0,0,0,0,0,1,0,,0,30,30,0,0,1,100010111000010010100111011111,4095,0.000000000,0.000000000,0.000000000,0.939568977,0.629263304,-3.070426913,9.920776204,0.174943547,17.459210221,10.970634703,1,0.040239673,0.057588122,38.001269000,38.000000000,0.001269000,53.007990837,0.007990837,62500.000000000,0,0,,,,
90,final,rs12_6,3,50.000000000,commanded 50%,76,3123.854999500,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.550112606,200.000000032,0,1,1,1,1,1,1,0,1,1,,0,30,30,0,0,0,100010111000010010100111011111,4095,0.000000000,0.000000000,0.000000000,0.606959719,0.780893615,,4.898777318,0.199808712,13.713881234,6.640847089,1,0.029500112,0.003570901,38.001165000,38.000000000,0.001165000,53.008005142,0.008005142,31250.000000000,304,0,31559.963000000,31762.796000000,31781.951000000,31792.889000000
91,final,rs12_6,4,10.000000000,commanded 10%,76,3176.864999491,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.368627312,200.000000032,7,27,34,14,1,1,10,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.707441467,0.493686667,-3.635355223,0.537751761,0.225717369,1.406374837,-1.361612158,1,0.018969904,0.034115008,38.001175000,38.000000000,0.001175000,53.009007931,0.009007931,6250.000000000,304,0,6556.537000000,6756.352000000,6775.313000000,6785.203000000
92,final,rs12_6,4,1.000000000,"commanded 1%, timing-limited",76,3229.874999483,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.031359963,200.000000032,7,29,36,13,1,1,12,1,,0,,,0,30,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.845561353,0.599053165,-3.856340178,0.553904407,0.186628711,2.940137350,-1.072312535,1,0.068948269,0.041244515,38.001178000,38.000000000,0.001178000,53.008986950,0.008986950,625.000000000,304,152,646.815000000,761.861000000,778.328000000,1630.556000000
93,final,rs12_6,4,100.000000000,commanded 100%,76,3282.884999475,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.635189118,200.000000032,0,1,1,1,1,1,1,0,1,1,,0,30,30,0,0,0,100010111000010010100111011111,4095,0.000000000,0.000000000,0.000000000,1.042932687,0.833839861,-6.007435192,10.551512672,0.324970003,14.978855599,9.545067178,1,0.040145757,0.046056274,38.001176000,38.000000000,0.001176000,53.009005070,0.009005070,62500.000000000,0,0,,,,
