sequence,phase,scheme,repetition,duty_percent,duty_label,frame_bits,start_offset_s,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,sync_correlation_score,sample_rate_hz,sync_bit_errors,coded_body_bit_errors,raw_frame_bit_errors,raw_payload_bit_errors,raw_payload_frame_error,coded_body_frame_error,raw_symbol_errors,decoder_failure,rs5_application_padding_valid,decoder_corrected_units,hamming_syndrome,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,payload_bits_per_frame,decoded_payload_frame_error,frame_error,sync_inclusive_diagnostic_frame_error,decoded_payload_bits,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,positive_inband_power_estimate,tone_coherence,off_coherence,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
11,short,hamming15_11,1,10.000000000,commanded 10%,31,330.714999947,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.318166071,200.000000032,3,5,8,5,1,1,,0,,1,5,6,11,11,1,1,1,01111000100,4095,0.000000000,0.000000000,0.000000000,0.631981679,0.491353194,-5.433204843,0.330798414,0.197979068,-1.733579368,-4.015541207,1,0.001462393,0.054165934,15.501164000,15.500000000,0.001164000,28.507998943,0.007998943,6250.000000000,124,0,6575.111000000,6756.573000000,6773.164000000,6785.407000000
12,short,rs5_3,1,10.000000000,commanded 10%,41,361.219999942,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.467261671,200.000000032,4,11,15,4,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.367896211,0.384296788,,0.601189267,0.282851044,0.513310014,-3.443048148,1,0.001711006,0.148168187,20.501147000,20.500000000,0.001147000,30.509011984,0.009011984,6250.000000000,164,0,6560.611000000,6763.362000000,6777.475000000,6786.334000000
13,short,hamming15_11,1,1.000000000,"commanded 1%, timing-limited",31,396.729999936,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.045092111,200.000000032,6,7,13,5,1,1,,0,,1,1,5,11,11,1,1,1,11000110110,4095,0.000000000,0.000000000,0.000000000,0.386951123,0.406512640,,0.145557096,0.139291718,-13.469780327,,0,0.214804992,0.116239046,15.501174000,15.500000000,0.001174000,35.507986069,0.007986069,625.000000000,124,62,648.352000000,762.685000000,777.939000000,1622.204000000
14,short,rs5_3,1,1.000000000,"commanded 1%, timing-limited",41,427.239999932,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.152459267,200.000000032,4,15,19,4,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.444137910,0.294584477,-2.944134719,0.156716186,0.148994506,-12.854584531,-4.503109556,1,0.083600385,0.012469809,20.501156000,20.500000000,0.001156000,30.508003950,0.008003950,625.000000000,164,82,649.260000000,759.963000000,774.993000000,1633.500000000
15,short,uncoded,1,1.000000000,"commanded 1%, timing-limited",27,462.744999926,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.035906409,200.000000032,6,8,14,8,1,1,,0,,0,0,8,11,11,1,1,1,01001100011,4095,0.000000000,0.000000000,0.000000000,0.339980940,0.332771859,-16.642667337,0.190346987,0.143616576,-4.876049636,-9.460543609,1,0.040970124,0.020060185,13.501165000,13.500000000,0.001165000,35.508000851,0.008000851,625.000000000,108,54,643.926000000,756.972000000,780.754000000,1636.537000000
16,short,hamming15_11,2,50.000000000,commanded 50%,31,491.254999921,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.584152831,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.420482828,0.554124635,,6.287467374,0.245061329,13.919351216,8.688488140,1,0.055528772,0.065136989,15.501147000,15.500000000,0.001147000,28.507999182,0.007999182,31250.000000000,124,0,31574.852000000,31755.417000000,31776.453000000,31791.593000000
17,short,rs5_3,2,50.000000000,commanded 50%,41,521.759999916,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.590743238,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.441543712,0.453977087,,5.722791729,0.202327325,14.359210736,9.238910540,1,0.021238777,0.001414312,20.501160000,20.500000000,0.001160000,30.508004904,0.008004904,31250.000000000,164,0,31574.871000000,31763.630000000,31783.135000000,31791.129000000
18,short,uncoded,2,50.000000000,commanded 50%,27,557.269999911,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.713072175,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.573293756,0.445248476,-5.412388695,5.582833555,0.285558713,12.683570896,8.706225575,1,0.204215932,0.013808309,13.501153000,13.500000000,0.001153000,35.507993937,0.007993937,31250.000000000,108,0,31578.055000000,31754.907000000,31772.829000000,31782.722000000
19,short,rs5_3,2,25.000000000,commanded 25%,41,585.779999906,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.504041462,200.000000032,1,6,7,4,1,1,4,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.545686297,0.479017957,-8.564321481,1.952298022,0.192559572,9.608830104,4.345013568,1,0.030068772,0.015284445,20.501160000,20.500000000,0.001160000,28.508001089,0.008001089,15625.000000000,164,0,15642.445000000,15752.500000000,15776.536000000,16632.574000000
20,short,uncoded,2,25.000000000,commanded 25%,27,621.294999901,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.491420369,200.000000032,2,0,2,0,0,0,,0,,0,0,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,0.602212767,0.620499662,,2.425306228,0.374613455,7.383172290,3.101379910,1,0.007103994,0.160194757,13.501157000,13.500000000,0.001157000,35.519004107,0.019004107,15625.000000000,108,0,15638.463000000,15762.167000000,15781.546000000,16620.111000000
