sequence,scheme,repetition,duty_position,duty_percent,duty_label,voltage_v,distance_m,hardware_note,payload_derivation,payload_bits,data_symbols,parity_symbols,coded_body_bits,frame_bits,bit_seconds,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,rs18_6,1,1,100,commanded 100%,11,3,corrected-wiring_final-placement_person-absent_60s-settle_120s-prelaunch-off_exploratory-whitening-screen,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T16:04:38.311509Z,2026-07-28T16:05:31.312246Z,53.000562,15,62500.000,0,0,nan,nan,nan,nan
2,rs18_6,1,2,50,commanded 50%,11,3,corrected-wiring_final-placement_person-absent_60s-settle_120s-prelaunch-off_exploratory-whitening-screen,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T16:05:46.318902Z,2026-07-28T16:06:39.320496Z,53.001188,15,31250.000,424,0,31507.074,31755.037,31776.375,31784.889
3,rs18_6,1,3,40,commanded 40%,11,3,corrected-wiring_final-placement_person-absent_60s-settle_120s-prelaunch-off_exploratory-whitening-screen,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T16:06:54.328903Z,2026-07-28T16:07:47.330482Z,53.001199,15,25000.000,424,0,25568.111,25758.388,25779.599,25789.889
4,rs18_6,1,4,30,commanded 30%,11,3,corrected-wiring_final-placement_person-absent_60s-settle_120s-prelaunch-off_exploratory-whitening-screen,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T16:08:02.336904Z,2026-07-28T16:08:55.338458Z,53.001181,15,18750.000,424,0,18757.982,19647.703,19755.627,19761.963
5,rs18_6,1,5,10,commanded 10%,11,3,corrected-wiring_final-placement_person-absent_60s-settle_120s-prelaunch-off_exploratory-whitening-screen,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T16:09:10.345908Z,2026-07-28T16:10:03.347476Z,53.001186,15,6250.000,424,0,6568.926,6754.129,6778.140,6789.130
